TransactionID,LineItemID,CustomerID,FirstName,LastName,CustomerSegment,PaymentType,PreferredMagazine,CustomerHeightCM,SaleDate,Year,Month,DayOfWeek,Hour,ProductCategory,ProductID,UnitsSold,UnitPrice,PreDiscountRevenue,Revenue,Profit,PromotionUsed
TRANS-00014,1,CUST-0120,Matilde,Pereira,Regular,MB Way,Wellness Weekly,184,2023-02-21,2023,2,Tuesday,8,Medications,MEDI-149,2,16.54,33.07,33.07,4.96,No
TRANS-00015,1,CUST-0187,Matilde,Costa,Regular,Credit Card,Health Today,195,2023-03-25,2023,3,Saturday,13,Dermocosmetics,DERM-148,1,35.11,35.11,35.11,14.04,No
TRANS-00015,2,CUST-0187,Matilde,Costa,Regular,Credit Card,Health Today,195,2023-03-25,2023,3,Saturday,13,Medications,MEDI-190,1,16.72,16.72,16.72,2.51,No
TRANS-00015,3,CUST-0187,Matilde,Costa,Regular,Credit Card,Health Today,195,2023-03-25,2023,3,Saturday,13,Medications,MEDI-178,1,15.01,15.01,15.01,2.25,No
TRANS-00018,1,CUST-0126,Leonor,Oliveira,Regular,Debit Card,None,139,2023-03-25,2023,3,Saturday,19,Medications,MEDI-160,2,21.84,43.69,43.69,6.55,No
TRANS-00018,2,CUST-0126,Leonor,Oliveira,Regular,Debit Card,None,139,2023-03-25,2023,3,Saturday,19,Weight Loss,WEIG-182,1,27.69,27.69,27.69,13.84,No
TRANS-00020,1,CUST-0167,Martim,Costa,Regular,Debit Card,Wellness Weekly,172,2023-01-29,2023,1,Sunday,15,Medications,MEDI-130,1,19.08,19.08,19.08,2.86,No
TRANS-00021,1,CUST-0206,Rodrigo,Costa,Regular,Cash,Wellness Weekly,144,2023-05-18,2023,5,Thursday,11,Weight Loss,WEIG-109,1,53.0,53.0,45.05,22.53,Yes
TRANS-00022,1,CUST-0162,Beatriz,Oliveira,Regular,MBWay,Wellness Weekly,157,2023-04-19,2023,4,Wednesday,10,Weight Loss,WEIG-184,1,50.96,50.96,43.32,21.66,Yes
TRANS-00022,2,CUST-0162,Beatriz,Oliveira,Regular,MBWay,Wellness Weekly,157,2023-04-19,2023,4,Wednesday,10,Weight Loss,WEIG-183,1,29.27,29.27,24.88,12.44,Yes
TRANS-00024,1,CUST-0127,Leonor,Costa,Regular,Credit Card,Health Today,171,2023-10-15,2023,10,Sunday,10,Medications,MEDI-169,1,15.77,15.77,15.77,2.37,No
TRANS-00024,2,CUST-0127,Leonor,Costa,Regular,Credit Card,Health Today,171,2023-10-15,2023,10,Sunday,10,Medications,MEDI-175,1,10.29,10.29,10.29,1.54,No
TRANS-00026,1,CUST-0071,Beatriz,Pereira,Parent,MBWay,None,176,2023-09-18,2023,9,Monday,13,Medications,MEDI-164,1,7.71,7.71,7.71,1.16,No
TRANS-00026,2,CUST-0071,Beatriz,Pereira,Parent,MBWay,None,176,2023-09-18,2023,9,Monday,13,Dermocosmetics,DERM-115,1,19.8,19.8,19.8,7.92,No
TRANS-00028,1,CUST-0349,Rodrigo,Oliveira,Regular,Credit Card,None,156,2023-08-05,2023,8,Saturday,14,Dermocosmetics,DERM-177,1,26.45,26.45,26.45,10.58,No
TRANS-00029,1,CUST-0240,Leonor,Pereira,Regular,MBWay,Wellness Weekly,157,2023-09-28,2023,9,Thursday,10,Supplements,SUPP-133,1,30.22,30.22,30.22,13.6,No
TRANS-00030,1,CUST-0006,Francisco,Costa,Regular,Debit Card,Pharma Times,174,2023-12-15,2023,12,Friday,12,Dermocosmetics,DERM-193,1,41.54,41.54,35.31,14.12,Yes
TRANS-00031,1,CUST-0137,Matilde,Oliveira,Regular,MBWay,Pharma Times,154,2023-11-25,2023,11,Saturday,14,Medications,MEDI-144,1,13.52,13.52,13.52,2.03,No
TRANS-00031,2,CUST-0137,Matilde,Oliveira,Regular,MBWay,Pharma Times,154,2023-11-25,2023,11,Saturday,14,Medications,MEDI-159,1,17.83,17.83,17.83,2.67,No
TRANS-00033,1,CUST-0135,Leonor,Costa,Regular,Credit Card,Pharma Times,216,2023-09-14,2023,9,Thursday,17,Supplements,SUPP-198,1,31.25,31.25,31.25,14.06,No
TRANS-00033,2,CUST-0135,Leonor,Costa,Regular,Credit Card,Pharma Times,216,2023-09-14,2023,9,Thursday,17,Supplements,SUPP-181,1,25.78,25.78,25.78,11.6,No
TRANS-00035,1,CUST-0312,Leonor,Oliveira,Regular,MBWay,Health Today,173,2023-04-12,2023,4,Wednesday,13,Medications,MEDI-120,1,9.42,9.42,9.42,1.41,No
TRANS-00035,2,CUST-0312,Leonor,Oliveira,Regular,MBWay,Health Today,173,2023-04-12,2023,4,Wednesday,13,Supplements,SUPP-168,1,24.98,24.98,24.98,11.24,No
TRANS-00037,1,CUST-0251,Rodrigo,Santos,Parent,Debit Card,Pharma Times,177,2023-01-10,2023,1,Tuesday,10,Medications,MEDI-115,1,20.18,20.18,20.18,3.03,No
TRANS-00037,2,CUST-0251,Rodrigo,Santos,Parent,Debit Card,Pharma Times,177,2023-01-10,2023,1,Tuesday,10,Medications,MEDI-140,1,10.61,10.61,10.61,1.59,No
TRANS-00039,1,CUST-0291,Beatriz,Oliveira,senior,MBWay,Pharma Times,164,2023-02-10,2023,2,Friday,16,Medications,MEDI-111,1,19.24,19.24,19.24,2.89,No
TRANS-00039,2,CUST-0291,Beatriz,Oliveira,Senior,MBWay,Pharma Times,164,2023-02-10,2023,2,Friday,16,Medications,MEDI-198,2,8.89,17.77,17.77,2.67,No
TRANS-00041,1,CUST-0338,Matilde,Santos,Regular,Credit Card,Wellness Weekly,169,2023-09-01,2023,9,Friday,17,Medications,MEDI-171,1,14.92,14.92,14.92,2.24,No
TRANS-00042,1,CUST-0311,Beatriz,Silva,Regular,Cash,None,164,2023-08-05,2023,8,Saturday,11,Baby Care,BABY-128,1,11.04,11.04,11.04,3.31,No
TRANS-00043,1,CUST-0103,Martim,Silva,Parent,Cash,Wellness Weekly,156,2023-06-09,2023,6,Friday,14,Medications,MEDI-152,2,16.75,33.5,33.5,5.02,No
TRANS-00044,1,CUST-0225,Beatriz,Santos,Parent,MBWay,Health Today,174,2023-09-22,2023,9,Friday,11,Baby Care,BABY-158,1,6.8,6.8,6.8,2.04,No
TRANS-00044,2,CUST-0225,Beatriz,Santos,Parent,MBWay,Health Today,174,2023-09-22,2023,9,Friday,11,Baby Care,BABY-144,1,9.43,9.43,8.02,2.4,Yes
TRANS-00044,3,CUST-0225,Beatriz,Santos,Parent,MBWay,Health Today,174,2023-09-22,2023,9,Friday,11,Medications,MEDI-176,2,8.06,16.13,16.13,2.42,No
TRANS-00047,1,CUST-0324,Matilde,Oliveira,Regular,MBWay,Pharma Times,165,2023-01-31,2023,1,Tuesday,10,Supplements,SUPP-130,1,13.63,13.63,11.58,5.21,Yes
TRANS-00048,1,CUST-0170,Martim,Silva,Senior,MBWay,Pharma Times,177,2023-02-06,2023,2,Monday,20,Medications,MEDI-166,2,17.03,34.07,34.07,5.11,No
TRANS-00048,2,CUST-0170,Martim,Silva,Senior,MBWay,Pharma Times,177,2023-02-06,2023,2,Monday,20,Medications,MEDI-128,1,17.85,17.85,17.85,2.68,No
TRANS-00050,1,CUST-0293,Rodrigo,Oliveira,Regular,Cash,Pharma Times,146,2023-10-23,2023,10,Monday,18,Medications,MEDI-161,1,14.09,14.09,14.09,2.11,No
TRANS-00050,2,CUST-0293,Rodrigo,Oliveira,Regular,Cash,Pharma Times,146,2023-10-23,2023,10,Monday,18,Medications,MEDI-153,1,8.45,8.45,8.45,1.27,No
TRANS-00052,1,CUST-0221,Martim,Silva,Regular,Debit Card,Health Today,149,2023-07-01,2023,7,Saturday,19,Weight Loss,WEIG-155,1,50.23,50.23,50.23,25.12,No
TRANS-00053,1,CUST-0028,Francisco,Pereira,Senior,Cash,Pharma Times,162,2023-12-11,2023,12,Monday,9,Medications,MEDI-184,1,8.48,8.48,8.48,1.27,No
TRANS-00053,2,CUST-0028,Francisco,Pereira,Senior,Cash,Pharma Times,162,2023-12-11,2023,12,Monday,9,Medications,MEDI-152,1,19.01,19.01,19.01,2.85,No
TRANS-00053,3,CUST-0028,Francisco,Pereira,Senior,Cash,Pharma Times,162,2023-12-11,2023,12,Monday,9,Medications,MEDI-114,2,9.85,19.71,19.71,2.96,No
TRANS-00056,1,CUST-0230,Francisco,Costa,Parent,MBWay,Health Today,147,2023-03-13,2023,3,Monday,9,Medications,MEDI-155,1,13.94,13.94,13.94,2.09,No
TRANS-00057,1,CUST-0039,Martim,Silva,Regular,Credit Card,None,157,2023-08-15,2023,8,Tuesday,20,Weight Loss,WEIG-171,1,42.83,42.83,42.83,21.41,No
TRANS-00057,2,CUST-0039,Martim,Silva,Regular,Credit Card,None,157,2023-08-15,2023,8,Tuesday,20,Supplements,SUPP-170,1,32.38,32.38,32.38,14.57,No
TRANS-00057,3,CUST-0039,Martim,Silva,Regular,Credit Card,None,157,2023-08-15,2023,8,Tuesday,20,Medications,MEDI-197,1,9.49,9.49,9.49,1.42,No
TRANS-00060,1,CUST-0249,Francisco,Costa,Parent,MBWay,Pharma Times,178,2023-09-04,2023,9,Monday,16,Medications,MEDI-128,1,20.54,20.54,20.54,3.08,No
TRANS-00060,2,CUST-0249,Francisco,Costa,Parent,MBWay,Pharma Times,178,2023-09-04,2023,9,Monday,16,Medications,MEDI-122,2,21.78,43.56,43.56,6.53,No
TRANS-00062,1,CUST-0136,Martim,Costa,Regular,Credit Card,Pharma Times,186,2023-08-21,2023,8,Monday,18,Weight Loss,WEIG-137,1,53.51,53.51,53.51,26.75,No
TRANS-00063,1,CUST-0285,Rodrigo,Santos,Senior,Cash,Wellness Weekly,186,2023-12-05,2023,12,Tuesday,17,Medications,MEDI-192,1,9.85,9.85,9.85,1.48,No
TRANS-00064,1,CUST-0112,Beatriz,Pereira,Parent,Cash,Wellness Weekly,191,2023-01-30,2023,1,Monday,9,Baby Care,BABY-175,1,5.49,5.49,5.49,1.65,No
TRANS-00064,2,CUST-0112,Beatriz,Pereira,Parent,Cash,Wellness Weekly,191,2023-01-30,2023,1,Monday,9,Medications,MEDI-141,1,15.76,15.76,15.76,2.36,No
TRANS-00064,3,CUST-0112,Beatriz,Pereira,Parent,Cash,Wellness Weekly,191,2023-01-30,2023,1,Monday,9,Medications,MEDI-165,1,14.97,14.97,14.97,2.25,No
TRANS-00067,1,CUST-0030,Martim,Costa,Regular,Cash,Health Today,169,2023-09-18,2023,9,Monday,14,Dermocosmetics,DERM-111,1,17.06,17.06,17.06,6.82,No
TRANS-00067,2,CUST-0030,Martim,Costa,Regular,MBWay,Health Today,169,2023-09-18,2023,9,Monday,14,Dermocosmetics,DERM-109,1,22.06,22.06,22.06,8.82,No
TRANS-00067,3,CUST-0030,Martim,Costa,Regular,Cash,,169,2023-09-18,2023,9,Monday,14,Medications,MEDI-116,1,15.55,15.55,15.55,2.33,No
TRANS-00070,1,CUST-0297,Matilde,Oliveira,Senior,Cash,Health Today,175,2023-11-01,2023,11,Wednesday,10,Medications,MEDI-106,1,13.29,13.29,13.29,1.99,No
TRANS-00070,2,CUST-0297,Matilde,Oliveira,Senior,Cash,Health Today,175,2023-11-01,2023,11,Wednesday,10,Medications,MEDI-175,1,11.75,11.75,11.75,1.76,No
TRANS-00072,1,CUST-0134,Rodrigo,Santos,Regular,Cash,Wellness Weekly,171,2023-04-15,2023,4,Saturday,10,Weight Loss,WEIG-186,1,28.35,28.35,28.35,14.18,No
TRANS-00073,1,CUST-0203,Martim,Oliveira,Regular,MBWay,Pharma Times,166,2023-03-09,2023,3,Thursday,17,Medications,MEDI-186,2,13.86,27.72,27.72,4.16,No
TRANS-00074,1,CUST-0038,Rodrigo,Silva,Regular,Cash,None,164,2023-01-05,2023,1,Thursday,17,Supplements,SUPP-159,1,24.26,24.26,24.26,10.92,No
TRANS-00075,1,CUST-0052,Rodrigo,Oliveira,Regular,MBWay,Health Today,175,2023-02-07,2023,2,Tuesday,11,Dermocosmetics,DERM-169,1,22.96,22.96,22.96,9.18,No
TRANS-00075,2,CUST-0052,Rodrigo,Oliveira,Regular,MBWay,Health Today,175,2023-02-07,2023,2,Tuesday,11,Medications,MEDI-145,2,20.19,40.38,40.38,6.06,No
TRANS-00077,1,CUST-0190,Beatriz,Pereira,Senior,Credit Card,None,166,2023-05-26,2023,5,Friday,18,Medications,MEDI-121,1,15.15,15.15,15.15,2.27,No
TRANS-00077,2,CUST-0190,Beatriz,Pereira,Senior,Credit Card,None,166,2023-05-26,2023,5,Friday,18,Medications,MEDI-139,1,21.81,21.81,21.81,3.27,No
TRANS-00079,1,CUST-0335,Rodrigo,Santos,Regular,Cash,Pharma Times,150,2023-09-28,2023,9,Thursday,12,Supplements,SUPP-102,1,24.09,24.09,24.09,10.84,No
TRANS-00079,2,CUST-0335,Rodrigo,Santos,Regular,Cash,Pharma Times,150,2023-09-28,2023,9,Thursday,12,Medications,MEDI-185,1,20.17,20.17,20.17,3.03,No
TRANS-00081,1,CUST-0136,Martim,Costa,Regular,Credit Card,Pharma Times,186,2023-03-01,2023,3,Wednesday,9,Medications,MEDI-114,1,9.33,9.33,9.33,1.4,No
TRANS-00081,2,CUST-0136,Martim,Costa,Regular,Credit Card,Pharma Times,186,2023-03-01,2023,3,Wednesday,9,Medications,MEDI-137,1,17.76,17.76,17.76,2.66,No
TRANS-00081,3,CUST-0136,Martim,Costa,Regular,Credit Card,Pharma Times,186,2023-03-01,2023,3,Wednesday,9,Medications,MEDI-127,1,19.79,19.79,19.79,2.97,No
TRANS-00084,1,CUST-0259,Matilde,Costa,Parent,Credit Card,Health Today,187,2023-09-08,2023,9,Friday,17,Medications,MEDI-133,1,19.69,19.69,19.69,2.95,No
TRANS-00085,1,CUST-0048,Rodrigo,Costa,Regular,Credit Card,,184,2023-11-21,2023,11,Tuesday,19,Medications,MEDI-155,1,7.66,7.66,7.66,1.15,No
TRANS-00086,1,CUST-0171,Beatriz,Costa,Parent,Credit Card,Health Today,208,2023-03-08,2023,3,Wednesday,18,Medications,MEDI-182,1,9.42,9.42,9.42,1.41,No
TRANS-00086,2,CUST-0171,Beatriz,Costa,Parent,Credit Card,Health Today,208,2023-03-08,2023,3,Wednesday,18,Medications,MEDI-157,1,13.42,13.42,13.42,2.01,No
TRANS-00086,3,CUST-0171,Beatriz,Costa,Parent,Credit Card,Health Today,208,2023-03-08,2023,3,Wednesday,18,Baby Care,BABY-102,1,12.56,12.56,12.56,3.77,No
TRANS-00089,1,CUST-0077,Rodrigo,Silva,Regular,Cash,Health Today,180,2023-10-07,2023,10,Saturday,17,Dermocosmetics,DERM-105,1,32.48,32.48,32.48,12.99,No
TRANS-00089,2,CUST-0077,Rodrigo,Silva,Regular,Cash,Health Today,180,2023-10-07,2023,10,Saturday,17,Supplements,SUPP-119,1,13.84,13.84,13.84,6.23,No
TRANS-00091,1,CUST-0187,Matilde,Costa,Regular,Credit Card,Health Today,195,2023-01-21,2023,1,Saturday,11,Dermocosmetics,DERM-146,1,22.49,22.49,22.49,8.99,No
TRANS-00091,2,CUST-0187,Matilde,Costa,Regular,Credit Card,Health Today,195,2023-01-21,2023,1,Saturday,11,Supplements,SUPP-114,1,24.2,24.2,24.2,10.89,No
TRANS-00093,1,CUST-0209,Beatriz,Costa,Senior,Credit Card,Wellness Weekly,179,2023-11-14,2023,11,Tuesday,19,Medications,MEDI-196,1,20.95,20.95,20.95,3.14,No
TRANS-00093,2,CUST-0209,Beatriz,Costa,Senior,Credit Card,Wellness Weekly,179,2023-11-14,2023,11,Tuesday,19,Medications,MEDI-121,1,19.16,19.16,19.16,2.87,No
TRANS-00095,1,CUST-0212,Francisco,Costa,Regular,Debit Card,Pharma Times,179,2023-01-13,2023,1,Friday,18,Medications,MEDI-123,1,11.98,11.98,11.98,1.8,No
TRANS-00095,2,CUST-0212,Francisco,Costa,Regular,Debit Card,Pharma Times,179,2023-01-13,2023,1,Friday,18,Medications,MEDI-153,1,19.96,19.96,19.96,2.99,No
TRANS-00097,1,CUST-0128,Matilde,Pereira,Regular,MBWay,None,175,2023-05-17,2023,5,Wednesday,17,Medications,MEDI-121,1,8.62,8.62,8.62,1.29,No
TRANS-00097,2,CUST-0128,Matilde,Pereira,Regular,MBWay,None,175,2023-05-17,2023,5,Wednesday,17,Medications,MEDI-105,1,10.34,10.34,10.34,1.55,No
TRANS-00099,1,CUST-0236,Leonor,Pereira,Regular,Debit Card,Health Today,185,2023-06-29,2023,6,Thursday,10,Medications,MEDI-140,1,20.07,20.07,20.07,3.01,No
TRANS-00100,1,CUST-0115,Matilde,Santos,Parent,MBWay,Pharma Times,165,2023-01-13,2023,1,Friday,13,Dermocosmetics,DERM-185,1,24.85,24.85,24.85,9.94,No
TRANS-00100,2,CUST-0115,Matilde,Santos,Parent,MBWay,Pharma Times,165,2023-01-13,2023,1,Friday,13,Baby Care,BABY-109,1,7.23,7.23,7.23,2.17,No
TRANS-00102,1,CUST-0329,Francisco,Silva,Regular,Debit Card,None,154,2023-09-18,2023,9,Monday,9,Supplements,SUPP-152,1,29.87,29.87,29.87,13.44,No
TRANS-00103,1,CUST-0170,Martim,Silva,Senior,MBWay,Pharma Times,177,2023-01-15,2023,1,Sunday,8,Medications,MEDI-115,1,10.92,10.92,10.92,1.64,No
TRANS-00104,1,CUST-0298,Francisco,Oliveira,Senior,Credit Card,Health Today,176,2023-05-16,2023,5,Tuesday,8,Dermocosmetics,DERM-105,1,28.04,28.04,28.04,11.21,No
TRANS-00105,1,CUST-0161,Rodrigo,Costa,Senior,Debit Card,,163,2023-08-12,2023,8,Saturday,9,Dermocosmetics,DERM-178,1,18.47,18.47,18.47,7.39,No
TRANS-00105,2,CUST-0161,Rodrigo,Costa,Senior,Debit Card,Health Today,163,2023-08-12,2023,8,Saturday,9,Weight Loss,WEIG-174,1,21.55,21.55,21.55,10.78,No
TRANS-00107,1,CUST-0224,Matilde,Oliveira,Regular,Cash,None,159,2023-01-01,2023,1,Sunday,10,Dermocosmetics,DERM-167,1,31.15,31.15,31.15,12.46,No
TRANS-00107,2,CUST-0224,Matilde,Oliveira,Regular,Cash,None,159,2023-01-01,2023,1,Sunday,10,Medications,MEDI-193,1,18.06,18.06,18.06,2.71,No
TRANS-00109,1,CUST-0101,Matilde,Santos,Senior,Debit Card,Health Today,171,2023-07-06,2023,7,Thursday,18,Medications,MEDI-156,1,16.96,16.96,16.96,2.54,No
TRANS-00110,1,CUST-0170,Martim,Silva,Senior,MBWay,Pharma Times,177,2023-11-16,2023,11,Thursday,18,Medications,MEDI-141,1,8.87,8.87,8.87,1.33,No
TRANS-00110,2,CUST-0170,Martim,Silva,Senior,MBWay,Pharma Times,177,2023-11-16,2023,11,Thursday,18,Medications,MEDI-139,1,17.0,17.0,17.0,2.55,No
TRANS-00112,1,CUST-0168,Rodrigo,Costa,Senior,Debit Card,None,209,2023-07-26,2023,7,Wednesday,14,Dermocosmetics,DERM-190,1,18.82,18.82,16.0,6.4,Yes
TRANS-00113,1,CUST-0216,Leonor,Santos,Parent,Credit Card,Pharma Times,164,2023-12-07,2023,12,Thursday,20,Supplements,SUPP-149,1,31.06,31.06,31.06,13.98,No
TRANS-00113,2,CUST-0216,Leonor,Santos,Parent,Credit Card,Pharma Times,164,2023-12-07,2023,12,Thursday,20,Medications,MEDI-179,2,13.09,26.18,26.18,3.93,No
TRANS-00113,3,CUST-0216,Leonor,Santos,Parent,Credit Card,Pharma Times,164,2023-12-07,2023,12,Thursday,20,Dermocosmetics,DERM-101,1,21.31,21.31,18.11,7.24,Yes
TRANS-00116,1,CUST-0297,Matilde,Oliveira,Senior,Cash,Health Today,175,2023-11-07,2023,11,Tuesday,10,Medications,MEDI-184,1,13.63,13.63,13.63,2.04,No
TRANS-00116,2,CUST-0297,Matilde,Oliveira,Senior,Cash,Health Today,175,2023-11-07,2023,11,Tuesday,10,Medications,MEDI-187,2,14.1,28.2,28.2,4.23,No
TRANS-00118,1,CUST-0087,Rodrigo,Pereira,Regular,Cash,Pharma Times,165,2023-12-04,2023,12,Monday,18,Supplements,SUPP-111,1,26.28,26.28,26.28,11.82,No
TRANS-00119,1,CUST-0318,Martim,Santos,Senior,MBWay,Health Today,159,2023-06-21,2023,6,Wednesday,11,Medications,MEDI-112,1,18.27,18.27,18.27,2.74,No
TRANS-00120,1,CUST-0345,Francisco,Santos,Regular,Credit Card,None,180,2023-06-08,2023,6,Thursday,13,Weight Loss,WEIG-129,1,25.16,25.16,25.16,12.58,No
TRANS-00120,2,CUST-0345,Francisco,Santos,Regular,Credit Card,None,180,2023-06-08,2023,6,Thursday,13,Supplements,SUPP-106,1,22.5,22.5,22.5,10.13,No
TRANS-00120,3,CUST-0345,Francisco,Santos,Regular,Credit Card,None,180,2023-06-08,2023,6,Thursday,13,Medications,MEDI-199,2,13.22,26.43,26.43,3.96,No
TRANS-00123,1,CUST-0323,Leonor,Oliveira,Senior,Cash,Health Today,158,2023-10-22,2023,10,Sunday,19,Medications,MEDI-125,1,12.76,12.76,12.76,1.91,No
TRANS-00123,2,CUST-0323,Leonor,Oliveira,Senior,Cash,Health Today,158,2023-10-22,2023,10,Sunday,19,Medications,MEDI-152,1,16.84,16.84,16.84,2.53,No
TRANS-00125,1,CUST-0003,Francisco,Pereira,Parent,MBWay,None,162,2023-02-24,2023,2,Friday,13,Medications,MEDI-155,1,19.06,19.06,19.06,2.86,No
TRANS-00125,2,CUST-0003,Francisco,Pereira,Parent,MBWay,None,162,2023-02-24,2023,2,Friday,13,Medications,MEDI-190,1,7.75,7.75,7.75,1.16,No
TRANS-00125,3,CUST-0003,Francisco,Pereira,Parent,MBWay,None,162,2023-02-24,2023,2,Friday,13,Medications,MEDI-132,1,8.82,8.82,8.82,1.32,No
TRANS-00128,1,CUST-0069,Beatriz,Pereira,Regular,Cash,Health Today,201,2023-08-26,2023,8,Saturday,17,Medications,MEDI-186,1,15.38,15.38,15.38,2.31,No
TRANS-00128,2,CUST-0069,Beatriz,Pereira,Regular,Cash,Health Today,201,2023-08-26,2023,8,Saturday,17,Dermocosmetics,DERM-141,1,41.74,41.74,41.74,16.7,No
TRANS-00128,3,CUST-0069,Beatriz,Pereira,Regular,Credit Card,Health Today,201,2023-08-26,2023,8,Saturday,17,Weight Loss,WEIG-179,1,51.22,51.22,51.22,25.61,No
TRANS-00131,1,CUST-0219,Matilde,Costa,Regular,Debit Card,Wellness Weekly,166,2023-10-08,2023,10,Sunday,9,Medications,MEDI-158,1,18.15,18.15,18.15,2.72,No
TRANS-00131,2,CUST-0219,Matilde,Costa,Regular,Debit Card,Wellness Weekly,166,2023-10-08,2023,10,Sunday,9,Dermocosmetics,DERM-161,1,37.55,37.55,37.55,15.02,No
TRANS-00133,1,CUST-0327,Rodrigo,Santos,Senior,Credit Card,Health Today,161,2023-05-22,2023,5,Monday,12,Supplements,SUPP-199,1,22.69,22.69,22.69,10.21,No
TRANS-00134,1,CUST-0123,Rodrigo,Santos,Senior,Credit Card,Health Today,169,2023-05-21,2023,5,Sunday,9,Supplements,SUPP-157,1,18.71,18.71,18.71,8.42,No
TRANS-00135,1,CUST-0140,Martim,Silva,Senior,Debit Card,Pharma Times,169,2023-06-21,2023,6,Wednesday,16,Weight Loss,WEIG-141,1,22.82,22.82,22.82,11.41,No
TRANS-00136,1,CUST-0078,Beatriz,Santos,Regular,Credit Card,None,171,2023-04-29,2023,4,Saturday,11,Weight Loss,WEIG-150,1,44.72,44.72,44.72,22.36,No
TRANS-00136,2,CUST-0078,Beatriz,Santos,Regular,Credit Card,None,171,2023-04-29,2023,4,Saturday,11,Supplements,SUPP-109,1,19.62,19.62,19.62,8.83,No
TRANS-00138,1,CUST-0239,Beatriz,Pereira,Parent,Credit Card,Pharma Times,155,2023-08-01,2023,8,Tuesday,14,Baby Care,BABY-108,1,8.36,8.36,8.36,2.51,No
TRANS-00138,2,CUST-0239,Beatriz,Pereira,Parent,Credit Card,Pharma Times,155,2023-08-01,2023,8,Tuesday,14,Medications,MEDI-199,1,17.43,17.43,17.43,2.61,No
TRANS-00138,3,CUST-0239,Beatriz,Pereira,Parent,Credit Card,Pharma Times,155,2023-08-01,2023,8,Tuesday,14,Medications,MEDI-198,2,14.15,28.31,28.31,4.25,No
TRANS-00141,1,CUST-0181,Leonor,Santos,Regular,Cash,Wellness Weekly,173,2023-06-02,2023,6,Friday,20,Medications,MEDI-197,1,20.37,20.37,20.37,3.06,No
TRANS-00142,1,CUST-0215,Martim,Pereira,Parent,MBWay,Wellness Weekly,159,2023-10-03,2023,10,Tuesday,13,Dermocosmetics,DERM-196,1,39.0,39.0,39.0,15.6,No
TRANS-00143,1,CUST-0113,Beatriz,Pereira,Regular,Debit Card,Pharma Times,173,2023-09-07,2023,9,Thursday,20,Medications,MEDI-129,1,14.28,14.28,14.28,2.14,No
TRANS-00144,1,CUST-0200,Leonor,Silva,Regular,Credit Card,Wellness Weekly,174,2023-06-22,2023,6,Thursday,18,Supplements,SUPP-186,1,21.09,21.09,21.09,9.49,No
