SessionID,CustomerID,FirstName,LastName,CustomerSegment,Sofa_Color,Pillow_Size,SessionDate,Year,Month,DayOfWeek,Genre,Title,Is_Trending,Episodes_Watched,Watch_Next_Episode,User_Country,User_Age
SESS-00043,USER-0217,Sarah,Thomas,Family Account,Black,King,2023-04-04,2023,4,Tuesday,Family,Adventures of Sparky,No,1,No,USA,27
SESS-00044,USER-0039,Daniel,Thompson,New Subscriber,Grey,Standard,2023-08-15,2023,8,Tuesday,Comedy,Just Kidding,Yes,1,No,USA,62
SESS-00045,USER-0008,Jessica,Thomas,Family Account,Red,King,2023-02-17,2023,2,Friday,Family,The Magical Treehouse,No,2,No,USA,18
SESS-00046,USER-0110,Amanda,Thompson,Regular User,Blue,Standard,2023-07-25,2023,7,Tuesday,Drama,The Inheritance,Yes,1,Yes,USA,28
SESS-00047,USER-0200,Matthew,Taylor,Regular User,Blue,Standard,2023-05-16,2023,5,Tuesday,Drama,Last Hope,Yes,1,Yes,USA,26
SESS-00048,USER-0285,Daniel,Anderson,Regular User,Grey,King,2023-12-05,2023,12,Tuesday,Drama,Last Hope,Yes,1,Yes,USA,55
SESS-00049,USER-0030,Joshua,White,Regular User,Red,King,2023-10-24,2023,10,Tuesday,Sci-Fi,Galaxy Runners,No,1,Yes,USA,40
SESS-00050,USER-0300,Sarah,Martin,Regular User,Grey,Standard,2023-09-02,2023,9,Saturday,Sci-Fi,The Omega Protocol,Yes,3,Yes,USA,30
SESS-00051,USER-0096,Joshua,Harris,New Subscriber,Blue,Standard,2023-02-05,2023,2,Sunday,Sci-Fi,Galaxy Runners,No,3,Yes,USA,22
SESS-00052,USER-0062,Daniel,White,Regular User,Grey,Standard,2023-10-19,2023,10,Thursday,Drama,City Lights,No,1,Yes,USA,42
SESS-00053,USER-0042,Ashley,Taylor,Family Account,Black,Queen,2023-08-03,2023,8,Thursday,Comedy,The Misfit,No,1,No,USA,27
SESS-00054,USER-0161,Amanda,Harris,Regular User,Beige,Standard,2023-05-03,2023,5,Wednesday,Family,Adventures of Sparky,No,1,No,USA,22
SESS-00055,USER-0154,Amanda,Harris,Regular User,Beige,Standard,2023-08-23,2023,8,Wednesday,Horror,Don't Look Back,No,1,No,USA,39
SESS-00056,USER-0005,Chris,Harris,Regular User,Red,Standard,2023-08-23,2023,8,Wednesday,Sci-Fi,Galaxy Runners,Yes,1,Yes,USA,59
SESS-00057,USER-0136,Amanda,Thompson,Family Account,,Standard,2023-03-09,2023,3,Thursday,Comedy,The Misfit,No,1,No,USA,42
SESS-00058,USER-0190,Jessica,Jackson,Regular User,Beige,Queen,2023-05-26,2023,5,Friday,Sci-Fi,The Omega Protocol,No,1,No,USA,54
SESS-00059,USER-0155,Amanda,White,Regular User,Black,Queen,2023-11-10,2023,11,Friday,Drama,The Inheritance,No,1,No,USA,37
SESS-00060,USER-0054,Matthew,Jackson,Family Account,Grey,Queen,2023-03-10,2023,3,Friday,Family,Adventures of Sparky,No,1,No,USA,45
SESS-00061,USER-0284,Daniel,Taylor,Regular User,Grey,Standard,2023-03-21,2023,3,Tuesday,Sci-Fi,Chronos,Yes,1,Yes,USA,38
SESS-00062,USER-0176,Joshua,Anderson,Regular User,Red,King,2023-04-15,2023,4,Saturday,Comedy,The Misfit,No,3,No,USA,28
SESS-00063,USER-0027,Sarah,Martin,Regular User,Beige,Standard,2023-02-17,2023,2,Friday,Drama,Last Hope,No,2,Yes,USA,46
SESS-00064,USER-0171,Sarah,Thomas,New Subscriber,Blue,Standard,2023-03-08,2023,3,Wednesday,Family,Holiday Heist,No,1,No,USA,22
SESS-00065,USER-0227,Chris,White,Regular User,Black,Standard,2023-10-10,2023,10,Tuesday,Comedy,Weekend Getaway,No,1,No,USA,54
SESS-00066,USER-0077,Joshua,Thompson,New Subscriber,Red,Queen,2023-10-07,2023,10,Saturday,Sci-Fi,Galaxy Runners,No,3,No,USA,22
SESS-00067,USER-0076,Chris,Anderson,Regular User,Grey,Standard,2023-08-09,2023,8,Wednesday,Sci-Fi,The Omega Protocol,Yes,1,Yes,USA,50
SESS-00068,USER-0021,Jessica,Thompson,Family Account,Beige,King,2023-07-03,2023,7,Monday,Drama,City Lights,No,1,No,USA,62
SESS-00069,USER-0182,Ashley,Martin,New Subscriber,Beige,King,2023-10-14,2023,10,Saturday,Drama,Last Hope,No,2,No,USA,53
SESS-00070,USER-0122,Joshua,Martin,Family Account,Black,Standard,2023-03-25,2023,3,Saturday,Family,The Magical Treehouse,No,3,Yes,USA,25
SESS-00071,USER-0171,Sarah,Thomas,New Subscriber,Blue,Standard,2023-07-30,2023,7,Sunday,Sci-Fi,The Omega Protocol,Yes,2,Yes,USA,23
SESS-00072,USER-0056,Sarah,Taylor,Family Account,Grey,King,2023-07-15,2023,7,Saturday,Comedy,Just Kidding,No,2,No,USA,32
SESS-00073,USER-0236,Jessica,Thomas,New Subscriber,Blue,Standard,2023-06-29,2023,6,Thursday,Sci-Fi,Chronos,No,1,No,USA,32
SESS-00074,USER-0115,Jessica,Harris,Regular User,Blue,Standard,2023-01-13,2023,1,Friday,Sci-Fi,The Omega Protocol,Yes,2,Yes,USA,26
SESS-00075,USER-0036,Matthew,White,Regular User,Grey,King,2023-05-23,2023,5,Tuesday,Sci-Fi,Chronos,No,1,No,USA,22
SESS-00076,USER-0275,Matthew,Harris,Regular User,Black,Queen,2023-06-19,2023,6,Monday,Sci-Fi,Galaxy Runners,Yes,1,No,USA,43
SESS-00077,USER-0092,Jessica,Thompson,New Subscriber,Red,Standard,2023-10-25,2023,10,Wednesday,Comedy,The Misfit,Yes,1,Yes,USA,40
SESS-00078,USER-0177,Jessica,Martin,New Subscriber,Grey,Queen,2023-06-10,2023,6,Saturday,Sci-Fi,Dimension Drift,No,3,No,USA,33
SESS-00079,USER-0198,Sarah,Thomas,Family Account,Black,King,2023-10-23,2023,10,Monday,Sci-Fi,The Omega Protocol,Yes,1,Yes,USA,56
SESS-00080,USER-0001,Amanda,Martin,Regular User,Beige,Standard,2023-09-24,2023,9,Sunday,Horror,Echoes of Fear,No,3,No,USA,52
SESS-00081,USER-0101,Daniel,White,Regular User,Red,King,2023-07-06,2023,7,Thursday,Drama,Last Hope,Yes,1,Yes,USA,27
SESS-00082,USER-0170,Ashley,Martin,New Subscriber,Grey,King,2023-11-16,2023,11,Thursday,Sci-Fi,Chronos,No,1,Yes,USA,44
SESS-00083,USER-0154,Amanda,Harris,Regular User,Beige,Standard,2023-09-17,2023,9,Sunday,Horror,Don't Look Back,No,3,No,USA,33
SESS-00084,USER-0152,Chris,Taylor,Family Account,Beige,King,2023-10-11,2023,10,Wednesday,Family,The Magical Treehouse,No,1,No,USA,38
SESS-00085,USER-0195,Sarah,Thompson,New Subscriber,Red,King,2023-12-13,2023,12,Wednesday,Comedy,Laugh Track,No,1,No,USA,29
SESS-00086,USER-0281,Sarah,Jackson,New Subscriber,Beige,King,2023-01-01,2023,1,Sunday,Comedy,The Misfit,No,3,No,USA,26
SESS-00087,USER-0297,Matthew,Martin,Regular User,Beige,Queen,2023-11-07,2023,11,Tuesday,Family,Holiday Heist,No,2,No,USA,33
SESS-00088,USER-0110,Amanda,Thompson,Regular User,Blue,Standard,2023-09-19,2023,9,Tuesday,Drama,Last Hope,No,1,No,USA,26
SESS-00089,USER-0087,Sarah,Thompson,Regular User,Blue,Standard,2023-12-04,2023,12,Monday,Sci-Fi,Galaxy Runners,Yes,1,Yes,USA,46
SESS-00090,USER-0172,Ashley,Thomas,Family Account,Red,Queen,2023-02-17,2023,2,Friday,Family,The Magical Treehouse,No,2,No,USA,40
SESS-00091,USER-0102,Matthew,Thompson,Family Account,Beige,Queen,2023-03-17,2023,3,Friday,Comedy,Just Kidding,Yes,1,No,USA,56
SESS-00092,USER-0038,Ashley,Anderson,New Subscriber,Blue,King,2023-08-22,2023,8,Tuesday,Sci-Fi,Dimension Drift,No,1,No,USA,60
SESS-00093,USER-0197,Jessica,Harris,Family Account,Beige,Queen,2023-09-11,2023,9,Monday,Family,Adventures of Sparky,No,1,No,USA,41
SESS-00094,USER-0003,Matthew,Thompson,Family Account,Beige,Queen,2023-02-24,2023,2,Friday,Drama,Last Hope,Yes,2,Yes,USA,39
SESS-00095,USER-0266,Jessica,Thompson,Regular User,Black,Standard,2023-08-26,2023,8,Saturday,Family,The Magical Treehouse,No,1,No,USA,48
SESS-00096,USER-0063,Joshua,White,New Subscriber,Blue,King,2023-08-22,2023,8,Tuesday,Comedy,Laugh Track,No,1,No,USA,27
SESS-00097,USER-0287,Chris,Jackson,New Subscriber,Beige,Standard,2023-11-01,2023,11,Wednesday,Horror,Don't Look Back,No,1,No,USA,64
SESS-00098,USER-0259,Ashley,Jackson,New Subscriber,Red,Queen,2023-08-07,2023,8,Monday,Sci-Fi,Dimension Drift,No,1,No,USA,59
SESS-00099,USER-0244,Jessica,Martin,Family Account,Grey,Standard,2023-08-19,2023,8,Saturday,Sci-Fi,Chronos,No,2,No,USA,44
SESS-00100,USER-0142,Matthew,Jackson,New Subscriber,Black,Queen,2023-09-24,2023,9,Sunday,Comedy,Weekend Getaway,No,3,No,USA,51
SESS-00101,USER-0040,Chris,Jackson,New Subscriber,Blue,Queen,2023-05-27,2023,5,Saturday,Family,The Magical Treehouse,No,2,No,USA,56
SESS-00102,USER-0277,Matthew,Thomas,New Subscriber,Black,Standard,2023-02-11,2023,2,Saturday,Family,The Magical Treehouse,No,4,No,USA,41
SESS-00103,USER-0079,Sarah,Taylor,New Subscriber,Blue,Standard,2023-12-28,2023,12,Thursday,Drama,City Lights,Yes,1,Yes,USA,38
SESS-00104,USER-0278,Daniel,Thomas,Regular User,Blue,Standard,2023-08-27,2023,8,Sunday,Drama,Last Hope,Yes,1,Yes,USA,32
SESS-00105,USER-0200,Matthew,Taylor,Regular User,Blue,Standard,2023-10-27,2023,10,Friday,Drama,The Inheritance,No,1,No,USA,34
SESS-00106,USER-0195,Sarah,Thompson,New Subscriber,Red,King,2023-09-02,2023,9,Saturday,Drama,The Inheritance,No,2,No,USA,62
SESS-00107,USER-0200,Matthew,Taylor,Regular User,Blue,Standard,2023-08-03,2023,8,Thursday,Drama,City Lights,No,1,No,USA,36
SESS-00108,USER-0249,Chris,Harris,Regular User,Beige,King,2023-01-15,2023,1,Sunday,Drama,Last Hope,Yes,4,Yes,USA,42
SESS-00109,USER-0208,Daniel,Thomas,New Subscriber,Grey,Queen,2023-03-26,2023,3,Sunday,Drama,Last Hope,No,2,No,USA,57
SESS-00110,USER-0274,Sarah,Anderson,Regular User,Red,Standard,2023-01-14,2023,1,Saturday,Horror,Don't Look Back,No,3,No,USA,39
SESS-00111,USER-0043,Sarah,White,Regular User,Grey,Standard,2023-11-26,2023,11,Sunday,Sci-Fi,Dimension Drift,Yes,4,Yes,USA,58
SESS-00112,USER-0026,Sarah,Harris,Regular User,Beige,Standard,2023-05-14,2023,5,Sunday,Sci-Fi,Dimension Drift,Yes,3,Yes,USA,59
SESS-00113,USER-0173,Ashley,Thomas,Regular User,Red,Standard,2023-07-14,2023,7,Friday,Sci-Fi,Chronos,No,1,No,USA,31
SESS-00114,USER-0130,Sarah,Thomas,Regular User,Black,Queen,2023-02-11,2023,2,Saturday,Family,Adventures of Sparky,Yes,3,Yes,USA,45
SESS-00115,USER-0180,Sarah,Martin,New Subscriber,Black,King,2023-04-25,2023,4,Tuesday,Sci-Fi,Galaxy Runners,No,1,No,USA,29
SESS-00116,USER-0016,Matthew,Harris,Regular User,Blue,Standard,2023-05-07,2023,5,Sunday,Family,The Magical Treehouse,No,2,No,USA,44
SESS-00117,USER-0123,Amanda,Thomas,Regular User,Beige,Queen,2023-03-06,2023,3,Monday,Sci-Fi,Dimension Drift,No,1,No,USA,41
SESS-00118,USER-0112,Daniel,Thomas,regular user,Grey,King,2023-08-27,2023,8,Sunday,Drama,Crossroads,No,1,No,USA,39
SESS-00119,USER-0059,Joshua,Thompson,New Subscriber,Blue,Queen,2023-03-25,2023,3,Saturday,Comedy,The Misfit,Yes,3,Yes,USA,56
SESS-00120,USER-0160,Ashley,Anderson,Regular User,Blue,Standard,2023-10-22,2023,10,Sunday,Horror,Echoes of Fear,No,6,No,USA,58
SESS-00121,USER-0102,Matthew,Thompson,Family Account,Beige,Queen,2023-02-08,2023,2,Wednesday,Comedy,Laugh Track,Yes,1,Yes,USA,56
SESS-00122,USER-0062,Daniel,White,Regular User,Grey,Standard,2023-10-17,2023,10,Tuesday,Sci-Fi,Galaxy Runners,Yes,1,Yes,USA,53
SESS-00123,USER-0190,Jessica,Jackson,Regular User,Beige,Queen,2023-02-05,2023,2,Sunday,Drama,Crossroads,Yes,2,Yes,USA,40
SESS-00124,USER-0251,Joshua,Anderson,New Subscriber,Blue,Standard,2023-02-24,2023,2,Friday,Drama,Last Hope,No,1,No,USA,25
SESS-00125,USER-0236,Jessica,Thomas,New Subscriber,Blue,Standard,2023-12-29,2023,12,Friday,Comedy,Laugh Track,No,1,No,USA,45
SESS-00126,USER-0139,Jessica,Taylor,Regular User,Grey,Standard,2023-11-12,2023,11,Sunday,Comedy,Weekend Getaway,No,4,No,USA,46
SESS-00127,USER-0138,Matthew,Thomas,Family Account,Beige,Standard,2023-06-15,2023,6,Thursday,Family,The Magical Treehouse,No,1,No,USA,32
SESS-00128,USER-0231,Jessica,Harris,New Subscriber,Beige,King,2023-05-05,2023,5,Friday,Sci-Fi,Dimension Drift,No,1,No,USA,56
SESS-00129,USER-0173,Ashley,Thomas,Regular User,Red,Standard,2023-01-15,2023,1,Sunday,Sci-Fi,Dimension Drift,No,3,No,USA,25
SESS-00130,USER-0109,Matthew,Anderson,New Subscriber,,Queen,2023-07-01,2023,7,Saturday,Horror,Don't Look Back,No,2,No,USA,45
SESS-00131,USER-0142,Matthew,Jackson,New Subscriber,Black,Queen,2023-10-12,2023,10,Thursday,Sci-Fi,Galaxy Runners,No,1,Yes,United States,50
SESS-00132,USER-0124,Jessica,Anderson,Family Account,Black,Standard,2023-07-28,2023,7,Friday,Sci-Fi,Dimension Drift,No,1,No,USA,28
SESS-00133,USER-0244,Jessica,Martin,Family Account,Grey,Standard,2023-11-27,2023,11,Monday,Comedy,Weekend Getaway,No,2,Yes,USA,59
SESS-00134,USER-0151,Joshua,Thomas,Regular User,Beige,Standard,2023-04-24,2023,4,Monday,Sci-Fi,Dimension Drift,No,1,No,USA,54
SESS-00135,USER-0298,Sarah,Taylor,Regular User,Beige,Standard,2023-07-08,2023,7,Saturday,Drama,Last Hope,No,1,No,USA,42
SESS-00136,USER-0282,Jessica,Harris,Family Account,Beige,Standard,2023-06-19,2023,6,Monday,Family,Adventures of Sparky,No,1,No,USA,51
SESS-00137,USER-0129,Joshua,Jackson,Regular User,Beige,Standard,2023-04-29,2023,4,Saturday,Drama,The Inheritance,No,3,No,USA,39
SESS-00138,USER-0275,Matthew,Harris,Regular User,Black,Queen,2023-12-20,2023,12,Wednesday,Sci-Fi,The Omega Protocol,Yes,1,Yes,USA,19
SESS-00139,USER-0142,Matthew,Jackson,New Subscriber,Black,Queen,2023-10-29,2023,10,Sunday,Comedy,The Misfit,No,2,No,USA,33
SESS-00140,USER-0152,Chris,Taylor,Family Account,Beige,King,2023-04-27,2023,4,Thursday,Comedy,The Misfit,No,1,Yes,USA,28
SESS-00141,USER-0274,Sarah,Anderson,Regular User,Red,Standard,2023-03-06,2023,3,Monday,Sci-Fi,Chronos,Yes,1,Yes,USA,31
SESS-00142,USER-0150,Jessica,Thomas,Family Account,Red,Queen,2023-12-24,2023,12,Sunday,Family,The Magical Treehouse,No,7,No,USA,49
SESS-00143,USER-0053,Chris,Thomas,Regular User,Blue,Queen,2023-01-07,2023,1,Saturday,Family,Holiday Heist,No,3,No,USA,39
SESS-00144,USER-0175,Jessica,Jackson,New Subscriber,Black,Queen,2023-04-05,2023,4,Wednesday,Drama,The Inheritance,Yes,1,Yes,USA,22
SESS-00145,USER-0059,Joshua,Thompson,New Subscriber,,Queen,2023-02-03,2023,2,Friday,Sci-Fi,Dimension Drift,No,2,No,USA,53
SESS-00146,USER-0028,Chris,Anderson,regular user,Blue,Standard,2023-03-19,2023,3,Sunday,Comedy,Laugh Track,No,3,No,USA,40
SESS-00147,USER-0044,Chris,White,New Subscriber,Blue,Queen,2023-05-08,2023,5,Monday,Sci-Fi,Galaxy Runners,No,1,No,USA,36
SESS-00148,USER-0116,Ashley,Thomas,Regular User,Grey,Standard,2023-09-25,2023,9,Monday,Drama,Last Hope,No,1,No,USA,46
SESS-00149,USER-0220,Joshua,Jackson,regular user,Black,Queen,2023-06-06,2023,6,Tuesday,Drama,The Inheritance,No,1,No,USA,59
SESS-00150,USER-0107,Sarah,Taylor,Regular User,Black,Standard,2023-11-17,2023,11,Friday,Sci-Fi,The Omega Protocol,Yes,1,Yes,USA,40
SESS-00151,USER-0123,Amanda,Thomas,Regular User,Beige,Queen,2023-03-30,2023,3,Thursday,Sci-Fi,Galaxy Runners,Yes,1,Yes,USA,26
SESS-00152,USER-0241,Ashley,Harris,Regular User,Black,Queen,2023-05-30,2023,5,Tuesday,Drama,The Inheritance,Yes,1,Yes,USA,35
SESS-00153,USER-0233,Sarah,Taylor,New Subscriber,Grey,King,2023-02-06,2023,2,Monday,Comedy,Laugh Track,No,2,No,USA,48
SESS-00154,USER-0102,Matthew,Thompson,Family Account,Beige,Queen,2023-08-06,2023,8,Sunday,Family,The Magical Treehouse,No,1,No,USA,54
SESS-00155,USER-0137,Daniel,Harris,Regular User,Red,King,2023-03-14,2023,3,Tuesday,Comedy,Just Kidding,Yes,1,Yes,USA,34
SESS-00156,USER-0292,Sarah,Thomas,Regular User,Black,Standard,2023-05-28,2023,5,Sunday,Drama,Last Hope,Yes,2,Yes,USA,35
SESS-00157,USER-0207,Amanda,Harris,New Subscriber,Blue,Queen,2023-05-20,2023,5,Saturday,Sci-Fi,Dimension Drift,No,3,No,USA,44
SESS-00158,USER-0222,Amanda,Thompson,Regular User,Blue,King,2023-06-15,2023,6,Thursday,Drama,Crossroads,Yes,1,Yes,USA,38
SESS-00159,USER-0295,Amanda,Martin,New Subscriber,Grey,King,2023-10-28,2023,10,Saturday,Comedy,Just Kidding,No,2,No,USA,18
SESS-00160,USER-0138,Matthew,Thomas,Family Account,Beige,Standard,2023-10-23,2023,10,Monday,Comedy,Just Kidding,No,1,No,USA,49
SESS-00161,USER-0266,Jessica,Thompson,Regular User,Black,Standard,2023-11-30,2023,11,Thursday,Sci-Fi,Dimension Drift,No,2,No,USA,31
SESS-00162,USER-0300,Sarah,Martin,Regular User,Grey,Standard,2023-08-12,2023,8,Saturday,Comedy,Weekend Getaway,No,2,No,USA,63
SESS-00163,USER-0210,Jessica,White,New Subscriber,Blue,Queen,2023-06-20,2023,6,Tuesday,Drama,Crossroads,No,1,No,USA,31
SESS-00164,USER-0169,Chris,White,Regular User,Beige,King,2023-07-30,2023,7,Sunday,Sci-Fi,Dimension Drift,Yes,2,Yes,USA,50
SESS-00165,USER-0282,Jessica,Harris,Family Account,Beige,Standard,2023-01-19,2023,1,Thursday,Family,Adventures of Sparky,Yes,2,Yes,USA,53
SESS-00166,USER-0060,Joshua,Taylor,New Subscriber,Beige,Standard,2023-07-26,2023,7,Wednesday,Comedy,Just Kidding,No,1,No,USA,56
SESS-00167,USER-0212,Joshua,Jackson,Regular User,Grey,Standard,2023-01-28,2023,1,Saturday,Family,The Magical Treehouse,No,4,No,USA,29
SESS-00168,USER-0256,Ashley,Thompson,Regular User,Beige,Standard,2023-11-17,2023,11,Friday,Drama,Last Hope,No,2,No,USA,62
SESS-00169,USER-0282,Jessica,Harris,Family Account,Beige,Standard,2023-03-09,2023,3,Thursday,Comedy,The Misfit,No,1,No,USA,42
SESS-00170,USER-0063,Joshua,White,New Subscriber,Blue,King,2023-01-15,2023,1,Sunday,Sci-Fi,The Omega Protocol,No,3,No,USA,32
SESS-00171,USER-0008,Jessica,Thomas,Family Account,Red,King,2023-10-10,2023,10,Tuesday,Family,Adventures of Sparky,Yes,1,No,USA,37
SESS-00172,USER-0059,Joshua,Thompson,New Subscriber,Blue,Queen,2023-08-25,2023,8,Friday,Drama,The Inheritance,No,1,Yes,USA,51
SESS-00173,USER-0150,Jessica,Thomas,Family Account,Red,Queen,2023-09-18,2023,9,Monday,Comedy,The Misfit,No,1,No,USA,31
SESS-00174,USER-0242,Sarah,Taylor,Regular User,Blue,Standard,2023-05-05,2023,5,Friday,Sci-Fi,Dimension Drift,No,1,No,USA,47
SESS-00175,USER-0261,Chris,Thomas,New Subscriber,Blue,Standard,2023-03-11,2023,3,Saturday,Sci-Fi,Galaxy Runners,Yes,3,Yes,USA,61
SESS-00176,USER-0213,Chris,Thompson,Regular User,Beige,Standard,2023-06-24,2023,6,Saturday,Drama,Crossroads,No,2,No,USA,30
SESS-00177,USER-0153,Daniel,Martin,New Subscriber,Blue,Standard,2023-10-28,2023,10,Saturday,Drama,Last Hope,No,2,No,USA,31
SESS-00178,USER-0248,Sarah,Anderson,Regular User,Black,Queen,2023-06-26,2023,6,Monday,Drama,Crossroads,No,1,No,USA,46
