OrderID,CustomerID,FirstName,LastName,CustomerSegment,PetAtHome,DreamDestination,SmartwatchBrand,OrderDate,Year,Month,DayOfWeek,Hour,RestaurantType,ItemsInOrder,OrderValue,DeliveryTimeMins,OnTimeDelivery,City
ORD-00024,CUST-0034,Michael,Thompson,Frequent Diner,Dog,New York,Apple,2023-04-19,2023,4,Wednesday,19,Italian,3,30.0,52.1,No,Lisbon
ORD-00025,CUST-0291,Sarah,Thompson,Frequent Diner,Cat,Bali,Apple,2023-06-11,2023,6,Sunday,19,Burger,2,23.0,55.1,No,Lisboa
ORD-00026,CUST-0256,David,Thompson,Frequent Diner,Dog,Rome,Garmin,2023-07-22,2023,7,Saturday,19,Italian,4,32.11,69.8,No,Lisboa
ORD-00027,CUST-0074,Sarah,Anderson,Frequent Diner,Bird,Tokyo,None,2023-05-16,2023,5,Tuesday,15,Burger,1,23.0,29.4,Yes,Lisboa
ORD-00028,CUST-0288,Jessica,Moore,Frequent Diner,Cat,New York,None,2023-10-03,2023,10,Tuesday,20,Sushi,5,40.0,57.6,No,Lisboa
ORD-00029,CUST-0300,Chris,Taylor,New User,None,Bali,None,2023-08-08,2023,8,Tuesday,17,Burger,1,18.0,37.0,Yes,Lisboa
ORD-00030,CUST-0205,David,Wilson,Frequent Diner,None,Rome,Garmin,2023-07-05,2023,7,Wednesday,14,Sushi,5,48.75,40.2,Yes,Lisboa
ORD-00031,CUST-0071,Amanda,Martin,Frequent Diner,Dog,Bali,None,2023-09-18,2023,9,Monday,20,Healthy,2,24.0,44.9,Yes,Lisboa
ORD-00032,CUST-0025,Amanda,Wilson,New User,Bird,New York,None,2023-02-26,2023,2,Sunday,20,Pizza,3,26.4,49.5,No,Lisboa
ORD-00033,CUST-0082,Michael,Wilson,New User,None,New York,None,2023-12-15,2023,12,Friday,20,Pizza,3,28.78,46.2,No,Lisboa
ORD-00034,CUST-0196,Sarah,Anderson,New User,Cat,Tokyo,Garmin,2023-11-02,2023,11,Thursday,20,Pizza,2,26.4,47.0,No,Lisboa
ORD-00035,CUST-0284,Matt,Thompson,Frequent Diner,Fish,Rome,Fitbit,2023-01-06,2023,1,Friday,14,Sushi,3,39.19,44.8,Yes,Lisboa
ORD-00036,CUST-0275,Jessica,Moore,Frequent Diner,Cat,Rome,Fitbit,2023-05-17,2023,5,Wednesday,13,Healthy,2,24.0,37.7,Yes,Lisboa
ORD-00037,CUST-0151,Chris,Thompson,New User,None,Rome,None,2023-08-11,2023,8,Friday,16,Burger,1,20.02,29.6,Yes,Lisboa
ORD-00038,CUST-0135,Amanda,Anderson,Frequent Diner,,New York,Garmin,2023-09-14,2023,9,Thursday,13,Healthy,2,24.0,37.6,Yes,Lisboa
ORD-00039,CUST-0260,Sarah,Thompson,Weekend Special,Cat,New York,None,2023-02-24,2023,2,Friday,22,Burger,2,21.79,36.7,Yes,Lisboa
ORD-00040,CUST-0328,David,Thompson,Frequent Diner,Cat,Rome,Apple,2023-09-17,2023,9,Sunday,19,Pizza,2,27.0,54.1,No,Lisboa
ORD-00041,CUST-0079,Michael,Thompson,New User,Bird,Rome,Fitbit,2023-07-11,2023,7,Tuesday,14,Italian,2,21.25,39.6,Yes,Lisboa
ORD-00042,CUST-0277,Jessica,Martin,Frequent Diner,Fish,New York,Garmin,2023-09-29,2023,9,Friday,20,Pizza,4,32.59,52.2,No,Lisboa
ORD-00043,CUST-0251,Ashley,Taylor,New User,Dog,Rome,Garmin,2023-01-10,2023,1,Tuesday,20,Sushi,3,31.5,51.1,No,Lisboa
ORD-00044,CUST-0186,Matt,Martin,New User,Dog,Rome,Apple,2023-06-07,2023,6,Wednesday,13,Burger,2,18.0,30.4,Yes,Lisboa
ORD-00045,CUST-0041,Ashley,Miller,New User,Dog,Paris,Apple,2023-02-13,2023,2,Monday,19,Italian,2,30.0,57.3,No,Lisboa
ORD-00046,CUST-0036,Jessica,Wilson,Frequent Diner,Fish,Paris,Fitbit,2023-09-30,2023,9,Saturday,21,Italian,4,32.77,59.7,No,Lisboa
ORD-00047,CUST-0244,Michael,Thompson,Frequent Diner,Dog,Rome,Apple,2023-10-09,2023,10,Monday,13,Healthy,2,24.0,31.7,Yes,Lisboa
ORD-00048,CUST-0217,Matt,Martin,New User,Cat,Rome,Apple,2023-04-19,2023,4,Wednesday,19,Pizza,2,22.0,50.3,No,Lisboa
ORD-00049,CUST-0103,David,Anderson,Frequent Diner,Bird,Bali,Garmin,2023-06-09,2023,6,Friday,18,Sushi,5,54.78,42.0,Yes,Lisboa
ORD-00050,CUST-0192,Michael,Martin,Frequent Diner,Dog,Bali,Apple,2023-08-13,2023,8,Sunday,19,Italian,2,26.25,60.0,No,Lisboa
ORD-00051,CUST-0232,David,Moore,New User,Bird,Tokyo,Garmin,2023-03-03,2023,3,Friday,12,Healthy,1,21.38,32.5,Yes,Lisboa
ORD-00052,CUST-0011,Chris,Moore,Weekend Special,Dog,Bali,Samsung,2023-10-29,2023,10,Sunday,11,Burger,1,18.0,44.5,Yes,Lisboa
ORD-00053,CUST-0302,Chris,Moore,Frequent Diner,Bird,Tokyo,Garmin,2023-04-23,2023,4,Sunday,17,Burger,2,23.0,34.1,Yes,Lisboa
ORD-00054,CUST-0324,Michael,Miller,Frequent Diner,None,Bali,Samsung,2023-01-31,2023,1,Tuesday,13,Healthy,2,22.1,32.3,Yes,Lisboa
ORD-00055,CUST-0017,David,Miller,Frequent Diner,Dog,Bali,Garmin,2023-06-19,2023,6,Monday,12,Healthy,2,28.75,30.7,Yes,Lisboa
ORD-00056,CUST-0122,David,Moore,Frequent Diner,Fish,Tokyo,None,2023-05-23,2023,5,Tuesday,15,Pizza,2,27.0,33.7,Yes,Lisboa
ORD-00057,CUST-0110,Chris,Anderson,Frequent Diner,Fish,Tokyo,Samsung,2023-10-04,2023,10,Wednesday,12,Burger,1,23.0,29.3,Yes,Lisboa
ORD-00058,CUST-0293,Amanda,Martin,Frequent Diner,,Paris,Samsung,2023-10-23,2023,10,Monday,13,Healthy,2,24.0,34.7,Yes,Lisboa
ORD-00059,CUST-0243,Chris,Wilson,Frequent Diner,Cat,Bali,Samsung,2023-07-28,2023,7,Friday,18,Italian,2,28.83,33.9,Yes,Lisboa
ORD-00060,CUST-0221,Sarah,Anderson,Weekend Special,Cat,Rome,Apple,2023-07-01,2023,7,Saturday,14,Pizza,2,23.5,39.2,Yes,Lisboa
ORD-00061,CUST-0051,Chris,Anderson,New User,Bird,New York,Garmin,2023-02-01,2023,2,Wednesday,12,Italian,3,30.0,36.0,Yes,Lisboa
ORD-00062,CUST-0174,Amanda,Brown,Weekend Special,Cat,Paris,None,2023-02-25,2023,2,Saturday,20,Pizza,2,29.54,55.5,No,Lisboa
ORD-00063,CUST-0230,David,Anderson,New User,Cat,Tokyo,None,2023-03-13,2023,3,Monday,14,Italian,2,25.0,36.2,Yes,Lisboa
ORD-00064,CUST-0143,Chris,Wilson,Frequent Diner,Fish,Paris,Fitbit,2023-08-25,2023,8,Friday,15,Burger,3,30.54,30.5,Yes,Lisboa
ORD-00065,CUST-0227,Matt,Brown,Frequent Diner,None,New York,Apple,2023-10-09,2023,10,Monday,20,Burger,2,23.0,45.0,Yes,Lisboa
ORD-00066,CUST-0334,Jessica,Taylor,Frequent Diner,Dog,Tokyo,Apple,2023-10-04,2023,10,Wednesday,13,Healthy,2,24.0,38.4,Yes,Lisboa
ORD-00067,CUST-0048,Matt,Taylor,New User,Cat,Paris,Garmin,2023-05-02,2023,5,Tuesday,11,Pizza,1,22.0,28.7,Yes,Lisboa
ORD-00068,CUST-0249,Chris,Taylor,Frequent Diner,Dog,Paris,Apple,2023-09-04,2023,9,Monday,13,Pizza,3,27.0,29.1,Yes,Lisboa
ORD-00069,CUST-0206,Ashley,Taylor,New User,Cat,Tokyo,None,2023-01-31,2023,1,Tuesday,18,Pizza,3,26.4,28.6,Yes,Lisboa
ORD-00070,CUST-0002,Chris,Martin,Frequent Diner,None,New York,None,2023-07-19,2023,7,Wednesday,19,Burger,1,23.0,46.7,No,Lisboa
ORD-00071,CUST-0233,Jessica,Anderson,Weekend Special,Bird,Paris,Fitbit,2023-05-27,2023,5,Saturday,18,Pizza,3,29.74,39.2,Yes,Lisboa
ORD-00072,CUST-0250,Chris,Thompson,Frequent Diner,Bird,Rome,Apple,2023-03-21,2023,3,Tuesday,17,Sushi,5,40.0,39.9,Yes,Lisboa
ORD-00073,CUST-0297,Chris,Martin,Frequent Diner,None,Bali,Fitbit,2023-10-05,2023,10,Thursday,14,Italian,2,30.0,32.6,Yes,Lisboa
ORD-00074,CUST-0026,Sarah,Martin,Frequent Diner,None,New York,Fitbit,2023-10-27,2023,10,Friday,20,Pizza,4,34.52,41.8,Yes,Lisboa
ORD-00075,CUST-0030,Ashley,Wilson,New User,Dog,New York,Garmin,2023-09-18,2023,9,Monday,13,Italian,3,25.0,32.8,Yes,Lisboa
ORD-00076,CUST-0096,Matt,Brown,New User,Bird,Tokyo,None,2023-02-05,2023,2,Sunday,14,Italian,3,30.0,49.0,No,Lisboa
ORD-00077,CUST-0207,Jessica,Martin,Frequent Diner,Cat,New York,Fitbit,2023-03-03,2023,3,Friday,17,Sushi,4,45.42,47.4,No,Lisboa
ORD-00078,CUST-0297,Chris,Martin,Frequent Diner,None,Bali,Fitbit,2023-11-01,2023,11,Wednesday,12,Healthy,1,22.1,30.4,Yes,Lisboa
ORD-00079,CUST-0042,Michael,Miller,New User,Cat,Paris,Garmin,2023-08-03,2023,8,Thursday,12,Italian,1,21.25,38.6,Yes,Lisboa
ORD-00080,CUST-0290,Michael,Brown,Frequent Diner,Dog,Bali,Fitbit,2023-09-25,2023,9,Monday,20,Pizza,2,27.0,48.2,No,Lisboa
ORD-00081,CUST-0134,Ashley,Thompson,Weekend Special,Bird,Paris,None,2023-04-15,2023,4,Saturday,20,Pizza,3,25.89,57.7,No,Lisboa
ORD-00082,CUST-0136,David,Martin,New User,None,Bali,Fitbit,2023-07-22,2023,7,Saturday,11,Burger,2,23.87,41.3,Yes,Lisboa
ORD-00083,CUST-0235,Matt,Taylor,New User,None,Rome,Garmin,2023-06-11,2023,6,Sunday,18,Italian,1,21.25,49.3,No,Lisboa
ORD-00084,CUST-0235,Matt,Taylor,New User,None,Rome,Garmin,2023-11-15,2023,11,Wednesday,20,Sushi,2,31.5,67.0,No,Lisboa
ORD-00085,CUST-0052,Matt,Moore,New User,Dog,Bali,Apple,2023-02-07,2023,2,Tuesday,19,Italian,3,30.0,54.4,No,Lisboa
ORD-00086,CUST-0068,Amanda,Wilson,New User,Fish,New York,Fitbit,2023-06-28,2023,6,Wednesday,12,Burger,1,18.0,36.8,Yes,Lisboa
ORD-00087,CUST-0126,Sarah,Taylor,New User,Fish,Paris,Samsung,2023-07-09,2023,7,Sunday,15,Healthy,1,23.75,45.8,No,Lisboa
ORD-00088,CUST-0225,Matt,Anderson,New User,Cat,Tokyo,Garmin,2023-10-06,2023,10,Friday,14,Sushi,4,40.67,45.0,No,Lisboa
ORD-00089,CUST-0005,Amanda,Wilson,Frequent Diner,Fish,Tokyo,Apple,2023-12-08,2023,12,Friday,13,Pizza,3,35.2,35.2,Yes,Lisboa
ORD-00090,CUST-0340,Michael,Miller,New User,Dog,New York,Fitbit,2023-02-23,2023,2,Thursday,18,Pizza,3,26.4,36.4,Yes,Lisboa
ORD-00091,CUST-0069,Jessica,Brown,Frequent Diner,Cat,New York,Apple,2023-05-16,2023,5,Tuesday,14,Sushi,4,40.0,39.2,Yes,Lisboa
ORD-00092,CUST-0055,Amanda,Anderson,Frequent Diner,Fish,Tokyo,None,2023-10-11,2023,10,Wednesday,22,Healthy,2,24.0,31.6,Yes,Lisboa
ORD-00093,CUST-0145,David,Anderson,Frequent Diner,None,Bali,None,2023-11-06,2023,11,Monday,21,Burger,1,23.0,41.1,Yes,Lisboa
ORD-00094,CUST-0176,Sarah,Martin,Frequent Diner,Bird,Rome,None,2023-04-15,2023,4,Saturday,12,Pizza,3,34.12,39.9,Yes,Lisbon
ORD-00095,CUST-0259,Jessica,Thompson,Weekend Special,Bird,Rome,Garmin,2023-09-08,2023,9,Friday,12,Sushi,5,42.45,40.5,Yes,Lisboa
ORD-00096,CUST-0027,Matt,Moore,Weekend Special,Dog,Rome,Fitbit,2023-02-17,2023,2,Friday,16,Burger,3,24.98,34.3,Yes,Lisboa
ORD-00097,CUST-0023,David,Taylor,New User,Cat,Bali,None,2023-01-02,2023,1,Monday,13,Italian,3,30.0,35.3,Yes,Lisboa
ORD-00098,CUST-0067,Matt,Brown,New User,Fish,Bali,None,2023-11-23,2023,11,Thursday,13,Italian,3,30.0,41.8,Yes,Lisboa
ORD-00099,CUST-0083,Michael,Miller,New User,Cat,New York,Fitbit,2023-08-15,2023,8,Tuesday,22,Healthy,2,23.75,35.5,Yes,Lisboa
ORD-00100,CUST-0219,Michael,Anderson,Weekend Special,Bird,Bali,Garmin,2023-10-15,2023,10,Sunday,21,Burger,1,18.0,52.1,No,Lisboa
ORD-00101,CUST-0039,Sarah,Wilson,New User,None,Bali,Fitbit,2023-12-20,2023,12,Wednesday,20,Burger,2,18.0,54.0,No,Lisboa
ORD-00102,CUST-0280,Chris,Miller,New User,Cat,Bali,Samsung,2023-01-19,2023,1,Thursday,20,Italian,3,30.0,55.3,No,Lisboa
ORD-00103,CUST-0076,Jessica,Taylor,New User,Bird,Bali,Apple,2023-08-09,2023,8,Wednesday,21,Pizza,2,18.7,39.3,Yes,Lisboa
ORD-00104,CUST-0158,Michael,Brown,New User,Dog,Paris,None,2023-07-06,2023,7,Thursday,12,Healthy,1,23.75,39.0,Yes,Lisboa
ORD-00105,CUST-0021,Chris,Anderson,New User,Dog,New York,None,2023-07-03,2023,7,Monday,22,Burger,1,18.0,30.1,Yes,Lisboa
ORD-00106,CUST-0128,Ashley,Wilson,Weekend Special,None,Tokyo,Apple,2023-12-08,2023,12,Friday,21,Burger,2,24.68,43.0,Yes,Lisboa
ORD-00107,CUST-0209,Ashley,Taylor,Frequent Diner,Fish,Tokyo,Samsung,2023-11-14,2023,11,Tuesday,20,Burger,1,23.0,50.5,No,Lisboa
ORD-00108,CUST-0122,David,Moore,Frequent Diner,Fish,Tokyo,None,2023-03-25,2023,3,Saturday,13,Pizza,4,33.86,49.8,No,Lisboa
ORD-00109,CUST-0212,Amanda,Moore,Frequent Diner,None,Bali,Samsung,2023-01-13,2023,1,Friday,16,Pizza,4,38.95,28.8,Yes,Lisboa
ORD-00110,CUST-0211,Michael,Thompson,New User,Cat,Rome,Apple,2023-12-09,2023,12,Saturday,11,Pizza,3,33.26,44.6,Yes,Lisboa
ORD-00111,CUST-0137,Chris,Thompson,Frequent Diner,None,New York,None,2023-03-23,2023,3,Thursday,22,Pizza,3,27.0,34.9,Yes,Lisboa
ORD-00112,CUST-0056,Michael,Moore,Weekend Special,Bird,New York,Fitbit,2023-07-15,2023,7,Saturday,21,Sushi,5,50.9,78.7,No,Lisboa
ORD-00113,CUST-0114,Jessica,Brown,New User,Cat,Bali,Fitbit,2023-04-13,2023,4,Thursday,20,Burger,1,18.0,47.2,No,Lisboa
ORD-00114,CUST-0236,David,Martin,Frequent Diner,Fish,Tokyo,Fitbit,2023-06-29,2023,6,Thursday,14,Healthy,3,28.75,33.1,Yes,Lisboa
ORD-00115,CUST-0036,Jessica,Wilson,Frequent Diner,Fish,Paris,Fitbit,2023-05-23,2023,5,Tuesday,13,Italian,2,30.0,35.5,Yes,Lisboa
ORD-00116,CUST-0261,Amanda,Thompson,Frequent Diner,None,Bali,Apple,2023-07-24,2023,7,Monday,20,Healthy,3,28.75,52.8,No,Lisboa
ORD-00117,CUST-0275,Jessica,Moore,Frequent Diner,Cat,Rome,Fitbit,2023-06-19,2023,6,Monday,21,Italian,2,26.25,54.4,No,Lisboa
ORD-00118,CUST-0060,Michael,Thompson,Weekend Special,Dog,Tokyo,Garmin,2023-05-14,2023,5,Sunday,18,Burger,2,18.0,41.8,Yes,Lisboa
ORD-00119,CUST-0136,David,Martin,New User,None,Bali,Fitbit,2023-01-20,2023,1,Friday,19,Sushi,4,36.11,53.1,No,Lisboa
ORD-00120,CUST-0161,Matt,Thompson,Weekend Special,Cat,Bali,Apple,2023-08-12,2023,8,Saturday,20,Pizza,2,23.77,56.1,No,Lisboa
ORD-00121,CUST-0198,Chris,Martin,New User,Fish,Tokyo,None,2023-10-23,2023,10,Monday,20,pizza,1,22.0,44.9,Yes,Lisboa
ORD-00122,CUST-0023,David,Taylor,New User,Cat,Bali,None,2023-12-29,2023,12,Friday,18,Burger,2,23.12,32.4,Yes,Lisboa
ORD-00123,CUST-0276,Matt,Miller,New User,Bird,Rome,Garmin,2023-12-18,2023,12,Monday,12,Burger,2,18.0,35.2,Yes,Lisboa
ORD-00124,CUST-0344,Ashley,Martin,Frequent Diner,None,Paris,Fitbit,2023-04-11,2023,4,Tuesday,19,Healthy,3,24.0,44.6,Yes,Lisboa
ORD-00125,CUST-0036,Jessica,Wilson,Frequent Diner,Fish,Paris,Fitbit,2023-12-07,2023,12,Thursday,20,Sushi,3,36.5,59.2,No,Lisboa
ORD-00126,CUST-0320,David,Wilson,New User,Fish,Rome,Apple,2023-06-10,2023,6,Saturday,20,Pizza,2,21.45,64.6,No,Lisboa
ORD-00127,CUST-0154,Matt,Brown,Frequent Diner,Cat,Bali,Fitbit,2023-09-17,2023,9,Sunday,14,Healthy,3,24.0,40.1,Yes,Lisboa
ORD-00128,CUST-0210,Chris,Moore,New User,Dog,Paris,Garmin,2023-06-17,2023,6,Saturday,17,Pizza,1,22.47,36.0,Yes,Lisboa
ORD-00129,CUST-0066,Amanda,Martin,Frequent Diner,None,Bali,None,2023-04-09,2023,4,Sunday,14,Sushi,4,40.0,47.2,No,Lisboa
ORD-00130,CUST-0195,Amanda,Wilson,Frequent Diner,Dog,Rome,None,2023-12-13,2023,12,Wednesday,20,Healthy,2,22.1,55.5,No,Lisboa
ORD-00131,CUST-0090,David,Thompson,Frequent Diner,Bird,Bali,Apple,2023-11-12,2023,11,Sunday,15,Pizza,3,31.4,42.7,Yes,Lisboa
ORD-00132,CUST-0208,Matt,Moore,Weekend Special,Dog,Paris,None,2023-10-08,2023,10,Sunday,19,Pizza,1,22.0,61.3,No,Lisboa
ORD-00133,CUST-0156,Chris,Thompson,Weekend Special,Cat,New York,None,2023-05-27,2023,5,Saturday,22,Pizza,2,28.71,37.1,Yes,Lisbon
ORD-00134,CUST-0311,Sarah,Moore,Weekend Special,Cat,Bali,Samsung,2023-12-02,2023,12,Saturday,22,Pizza,3,31.05,35.2,Yes,Lisboa
ORD-00135,CUST-0262,Sarah,Miller,Frequent Diner,Bird,New York,None,2023-08-31,2023,8,Thursday,13,Healthy,2,28.75,37.9,Yes,Lisboa
ORD-00136,CUST-0087,Jessica,Wilson,New User,None,Rome,Fitbit,2023-12-04,2023,12,Monday,20,pizza,3,26.4,39.8,Yes,Lisboa
ORD-00137,CUST-0325,Jessica,Thompson,Frequent Diner,None,New York,Samsung,2023-11-14,2023,11,Tuesday,14,Burger,2,23.0,31.4,Yes,Lisboa
ORD-00138,CUST-0121,Michael,Taylor,New User,Dog,New York,Apple,2023-12-11,2023,12,Monday,20,Burger,2,18.0,45.1,No,Lisboa
ORD-00139,CUST-0102,David,Miller,Frequent Diner,Bird,Bali,Fitbit,2023-03-17,2023,3,Friday,12,Sushi,4,43.47,38.2,Yes,Lisboa
ORD-00140,CUST-0244,Michael,Thompson,Frequent Diner,Dog,Rome,Apple,2023-11-09,2023,11,Thursday,21,Italian,3,35.0,57.5,No,Lisboa
ORD-00141,CUST-0213,Matt,Taylor,New User,Bird,New York,Samsung,2023-11-19,2023,11,Sunday,12,Pizza,2,26.4,45.8,No,Lisboa
ORD-00142,CUST-0197,Jessica,Moore,New User,Fish,Tokyo,Samsung,2023-09-11,2023,9,Monday,21,Burger,2,18.0,46.0,No,Lisboa
ORD-00143,CUST-0076,Jessica,Taylor,New User,Bird,Bali,Apple,2023-12-02,2023,12,Saturday,15,Pizza,4,33.76,43.9,Yes,Lisboa
ORD-00144,CUST-0055,Amanda,Anderson,Frequent Diner,Fish,Tokyo,None,2023-08-06,2023,8,Sunday,15,Sushi,6,48.75,52.2,No,Lisboa
ORD-00145,CUST-0266,Matt,Brown,Weekend Special,Cat,Rome,Garmin,2023-08-26,2023,8,Saturday,15,Burger,1,21.5,42.5,Yes,Lisboa
ORD-00146,CUST-0063,Ashley,Miller,New User,Fish,New York,Fitbit,2023-08-22,2023,8,Tuesday,20,Pizza,2,18.7,41.3,Yes,Lisboa
ORD-00147,CUST-0238,Amanda,Taylor,New User,None,Paris,Samsung,2023-12-08,2023,12,Friday,12,Healthy,1,22.45,35.3,Yes,Lisboa
ORD-00148,CUST-0163,Michael,Wilson,Frequent Diner,Fish,Bali,Samsung,2023-08-15,2023,8,Tuesday,12,Healthy,2,28.75,36.1,Yes,Lisboa
ORD-00149,CUST-0281,Sarah,Miller,Frequent Diner,Dog,Bali,Samsung,2023-08-17,2023,8,Thursday,12,Burger,2,23.0,37.0,Yes,Lisboa
ORD-00150,CUST-0244,Michael,Thompson,Frequent Diner,Dog,Rome,Apple,2023-08-19,2023,8,Saturday,20,Italian,3,29.73,59.6,No,Lisboa
ORD-00151,CUST-0327,David,Thompson,New User,Bird,Bali,Samsung,2023-05-22,2023,5,Monday,21,Healthy,1,19.0,55.7,No,Lisboa
ORD-00152,CUST-0141,Michael,Taylor,New User,Dog,Tokyo,Garmin,2023-08-14,2023,8,Monday,19,Pizza,1,18.7,44.8,Yes,Lisboa
ORD-00153,CUST-0147,David,Miller,Frequent Diner,Dog,Paris,Fitbit,2023-05-01,2023,5,Monday,17,Italian,3,30.0,34.7,Yes,Lisbon
ORD-00154,CUST-0164,Sarah,Anderson,Frequent Diner,Dog,Paris,Fitbit,2023-10-04,2023,10,Wednesday,22,Pizza,2,27.0,27.8,Yes,Lisboa
ORD-00155,CUST-0078,Ashley,Martin,Weekend Special,Cat,Paris,Garmin,2023-04-29,2023,4,Saturday,13,Pizza,2,24.92,44.8,Yes,Lisboa
ORD-00156,CUST-0110,Chris,Anderson,Frequent Diner,Fish,Tokyo,Samsung,2023-02-02,2023,2,Thursday,21,Burger,2,23.0,42.1,Yes,Lisboa
ORD-00157,CUST-0170,Jessica,Moore,Frequent Diner,Bird,New York,Garmin,2023-10-05,2023,10,Thursday,12,Healthy,3,24.0,34.7,Yes,Lisboa
ORD-00158,CUST-0032,Chris,Moore,Frequent Diner,Dog,Bali,Apple,2023-04-16,2023,4,Sunday,19,Burger,2,23.0,51.3,No,Lisboa
ORD-00159,CUST-0200,Ashley,Miller,New User,Fish,Paris,None,2023-10-27,2023,10,Friday,12,Burger,1,20.12,37.5,Yes,Lisboa
ORD-00160,CUST-0295,Chris,Moore,Frequent Diner,Dog,Tokyo,Apple,2023-07-14,2023,7,Friday,15,Pizza,3,31.36,31.8,Yes,Lisboa
ORD-00161,CUST-0153,Amanda,Martin,Frequent Diner,Dog,New York,Garmin,2023-07-19,2023,7,Wednesday,21,Healthy,3,28.75,49.5,No,Lisboa
ORD-00162,CUST-0215,Amanda,Taylor,New User,Fish,Rome,Samsung,2023-10-03,2023,10,Tuesday,15,Burger,2,18.0,35.5,Yes,Lisboa
ORD-00163,CUST-0280,Chris,Miller,New User,Cat,Bali,Samsung,2023-11-05,2023,11,Sunday,15,Italian,3,30.0,51.0,No,Lisboa
ORD-00164,CUST-0250,Chris,Thompson,Frequent Diner,Bird,Rome,Apple,2023-04-23,2023,4,Sunday,17,Italian,2,30.0,41.7,Yes,Lisboa
