TransactionID,LineItemID,CustomerID,FirstName,LastName,CustomerSegment,LaptopBrand,FavoriteMusic,SaleDate,Year,Month,DayOfWeek,Hour,TimeOfDay,ProductCategory,ProductID,UnitsSold,UnitPrice,PreDiscountRevenue,Revenue,OfferUsed,Location
TRANS-00034,2,CUST-0291,Diogo,Sousa,Regular,HP,Indie,2023-02-10,2023,2,Friday,9,Morning,Hot Drink,HOT -198,2,2.19,4.38,3.72,Yes,Downtown
TRANS-00036,1,CUST-0338,Carolina,Fernandes,Regular,Apple,Indie,2023-09-01,2023,9,Friday,16,Afternoon,Hot Drink,HOT -122,1,3.31,3.31,3.31,No,Downtown
TRANS-00036,2,CUST-0338,Carolina,Fernandes,Regular,Apple,Indie,2023-09-01,2023,9,Friday,16,Afternoon,Pastry,PAST-155,1,2.43,2.43,2.43,No,Downtown
TRANS-00036,3,CUST-0338,Carolina,Fernandes,Regular,Apple,Indie,2023-09-01,2023,9,Friday,16,Afternoon,Sandwich,SAND-197,1,4.1,4.1,4.1,No,Downtown
TRANS-00039,1,CUST-0160,Sofia,Rodrigues,Tourist,None,Electronic,2023-07-24,2023,7,Monday,18,Afternoon,Sandwich,SAND-184,2,6.2,12.4,12.4,No,Downtown
TRANS-00039,2,CUST-0160,Sofia,Rodrigues,Tourist,None,Electronic,2023-07-24,2023,7,Monday,18,Afternoon,Cold Drink,COLD-158,2,2.95,5.9,5.9,No,Downtown
TRANS-00039,3,CUST-0160,Sofia,Rodrigues,Tourist,None,Electronic,2023-07-24,2023,7,Monday,18,Afternoon,Cold Drink,COLD-144,2,3.61,7.22,6.13,Yes,Downtown
TRANS-00042,1,CUST-0302,Sofia,Oliveira,Regular,Dell,Indie,2023-04-23,2023,4,Sunday,8,Morning,Sandwich,SAND-110,1,3.68,3.68,3.68,No,Downtown
TRANS-00043,1,CUST-0035,Tiago,Sousa,Tourist,Apple,Indie,2023-01-17,2023,1,Tuesday,13,Lunchtime,Pastry,PAST-110,1,1.78,1.78,1.78,No,Downtown
TRANS-00043,2,CUST-0035,Tiago,Sousa,Tourist,Apple,Indie,2023-01-17,2023,1,Tuesday,13,Lunchtime,Cold Drink,COLD-163,1,2.76,2.76,2.76,No,Downtown
TRANS-00045,1,CUST-0293,Carolina,Goncalves,Student,Dell,Indie,2023-10-23,2023,10,Monday,15,Afternoon,Cold Drink,COLD-132,1,4.11,4.11,4.11,No,Downtown
TRANS-00046,1,CUST-0098,Sofia,Gomes,Tourist,None,Pop,2023-02-18,2023,2,Saturday,9,Morning,Cold Drink,COLD-185,1,3.35,3.35,3.35,No,Downtown
TRANS-00047,1,CUST-0240,Carolina,Oliveira,Regular,HP,Pop,2023-01-28,2023,1,Saturday,18,Afternoon,Hot Drink,HOT -184,2,2.15,4.3,4.3,No,Downtown
TRANS-00048,1,CUST-0207,Mariana,Gomes,Regular,Apple,Pop,2023-06-23,2023,6,Friday,20,Afternoon,Sandwich,SAND-114,1,4.07,4.07,4.07,No,Downtown
TRANS-00049,1,CUST-0230,Mariana,Goncalves,Regular,Dell,Electronic,2023-03-13,2023,3,Monday,14,Afternoon,Cold Drink,COLD-124,1,3.0,3.0,3.0,No,Downtown
TRANS-00050,1,CUST-0039,Diogo,Ferreira,Regular,Lenovo,Indie,2023-08-15,2023,8,Tuesday,20,Afternoon,Pastry,PAST-171,1,2.15,2.15,2.15,No,Downtown
TRANS-00051,1,CUST-0277,Carolina,Rodrigues,Student,None,Pop,2023-01-08,2023,1,Sunday,9,Morning,Cold Drink,COLD-197,1,2.83,2.83,2.83,No,Downtown
TRANS-00052,1,CUST-0249,Sofia,Fernandes,Regular,HP,Pop,2023-09-04,2023,9,Monday,11,Lunchtime,Pastry,PAST-152,1,1.66,1.66,1.66,No,Downtown
TRANS-00053,1,CUST-0002,Mariana,Oliveira,Student,HP,Pop,2023-07-19,2023,7,Wednesday,12,Lunchtime,Cold Drink,COLD-159,2,3.89,7.79,7.79,No,Downtown
TRANS-00054,1,CUST-0285,Sofia,Gomes,Student,Dell,Indie,2023-12-05,2023,12,Tuesday,19,Afternoon,Pastry,PAST-163,1,1.8,1.8,1.8,No,Downtown
TRANS-00055,1,CUST-0030,Tiago,Oliveira,Student,Lenovo,Indie,2023-10-24,2023,10,Tuesday,19,Afternoon,Sandwich,SAND-170,1,4.44,4.44,3.77,Yes,Downtown
TRANS-00055,2,CUST-0030,Tiago,Oliveira,Student,Lenovo,Indie,2023-10-24,2023,10,Tuesday,19,Afternoon,Pastry,PAST-107,1,2.0,2.0,2.0,No,Downtown
TRANS-00057,1,CUST-0272,Mariana,Sousa,Regular,Apple,Pop,2023-03-22,2023,3,Wednesday,8,Morning,Sandwich,SAND-166,1,4.06,4.06,4.06,No,Downtown
TRANS-00057,2,CUST-0272,Mariana,Sousa,Regular,Apple,Pop,2023-03-22,2023,3,Wednesday,8,Morning,Pastry,PAST-177,2,2.36,4.72,4.02,Yes,Downtown
TRANS-00057,3,CUST-0272,Mariana,Sousa,Regular,Apple,Pop,2023-03-22,2023,3,Wednesday,8,Morning,Pastry,PAST-152,2,2.39,4.78,4.06,Yes,Downtown
TRANS-00060,1,CUST-0127,Francisco,Sousa,Regular,,Pop,2023-10-24,2023,10,Tuesday,17,Afternoon,Hot Drink,HOT -106,1,2.63,2.63,2.63,No,Downtown
TRANS-00061,1,CUST-0299,Diogo,Fernandes,Student,None,Fado,2023-10-17,2023,10,Tuesday,16,Afternoon,Cold Drink,COLD-141,2,2.91,5.82,5.82,No,Downtown
TRANS-00062,1,CUST-0161,Diogo,Rodrigues,Regular,HP,Indie,2023-05-03,2023,5,Wednesday,12,Lunchtime,Hot Drink,HOT -151,1,2.97,2.97,2.97,No,Downtown
TRANS-00062,2,CUST-0161,Diogo,Rodrigues,Regular,HP,Indie,2023-05-03,2023,5,Wednesday,12,Lunchtime,Pastry,PAST-159,1,2.25,2.25,2.25,No,Downtown
TRANS-00062,3,CUST-0161,Diogo,Rodrigues,Regular,HP,Indie,2023-05-03,2023,5,Wednesday,12,Lunchtime,Sandwich,SAND-110,2,5.36,10.73,9.12,Yes,Downtown
TRANS-00065,1,CUST-0289,Miguel,Ferreira,Regular,Dell,Indie,2023-02-21,2023,2,Tuesday,9,Morning,Hot Drink,HOT -169,2,2.4,4.8,4.08,Yes,Downtown
TRANS-00065,2,CUST-0289,Miguel,Ferreira,Regular,Dell,Indie,2023-02-21,2023,2,Tuesday,9,Morning,Hot Drink,HOT -145,1,3.32,3.32,3.32,No,Downtown
TRANS-00067,1,CUST-0190,Sofia,Oliveira,Regular,Lenovo,Indie,2023-05-26,2023,5,Friday,10,Morning,Pastry,PAST-157,1,2.2,2.2,2.2,No,Campus
TRANS-00067,2,CUST-0190,Sofia,Oliveira,Regular,Lenovo,Indie,2023-05-26,2023,5,Friday,10,Morning,Hot Drink,HOT -179,1,3.21,3.21,3.21,No,Downtown
TRANS-00069,1,CUST-0271,Sofia,Ferreira,Student,HP,Fado,2023-01-05,2023,1,Thursday,18,Afternoon,Sandwich,SAND-171,2,5.49,10.98,10.98,No,Downtown
TRANS-00069,2,CUST-0271,Sofia,Ferreira,Student,HP,Fado,2023-01-05,2023,1,Thursday,18,Afternoon,Pastry,PAST-118,1,2.39,2.39,2.39,No,Downtown
TRANS-00069,3,CUST-0271,Sofia,Ferreira,Student,HP,Fado,2023-01-05,2023,1,Thursday,18,Afternoon,Pastry,PAST-196,1,1.77,1.77,1.77,No,Downtown
TRANS-00072,1,CUST-0310,Sofia,Goncalves,Student,None,Electronic,2023-04-18,2023,4,Tuesday,19,Afternoon,Sandwich,SAND-144,1,5.4,5.4,5.4,No,Downtown
TRANS-00072,2,CUST-0310,Sofia,Goncalves,Student,None,Electronic,2023-04-18,2023,4,Tuesday,19,Afternoon,Pastry,PAST-134,1,1.75,1.75,1.75,No,Downtown
TRANS-00074,1,CUST-0027,Diogo,Rodrigues,Student,HP,Indie,2023-02-17,2023,2,Friday,18,Afternoon,Pastry,PAST-155,1,1.54,1.54,1.54,No,Downtown
TRANS-00074,2,CUST-0027,Diogo,Rodrigues,Student,HP,Indie,2023-02-17,2023,2,Friday,18,Afternoon,Pastry,PAST-143,1,2.14,2.14,2.14,No,Downtown
TRANS-00076,1,CUST-0135,Carolina,Fernandes,Regular,HP,Fado,2023-03-24,2023,3,Friday,19,Afternoon,Pastry,PAST-157,1,1.93,1.93,1.93,No,Downtown
TRANS-00077,1,CUST-0005,Diogo,Oliveira,Tourist,Lenovo,Indie,2023-02-27,2023,2,Monday,9,Morning,Hot Drink,HOT -189,1,2.82,2.82,2.82,No,Downtown
TRANS-00078,1,CUST-0190,Sofia,Oliveira,Regular,Lenovo,Indie,2023-10-26,2023,10,Thursday,16,Afternoon,Pastry,PAST-119,2,1.54,3.08,3.08,No,Downtown
TRANS-00079,1,CUST-0187,Diogo,Oliveira,Regular,Apple,Electronic,2023-01-21,2023,1,Saturday,13,Lunchtime,Cold Drink,COLD-127,1,3.83,3.83,3.83,No,Downtown
TRANS-00079,2,CUST-0187,Diogo,Oliveira,Regular,Apple,Electronic,2023-01-21,2023,1,Saturday,13,Lunchtime,Pastry,PAST-146,1,2.38,2.38,2.38,No,Downtown
TRANS-00081,1,CUST-0209,Diogo,Oliveira,Tourist,Lenovo,Fado,2023-11-14,2023,11,Tuesday,19,Afternoon,Cold Drink,COLD-120,1,2.97,2.97,2.97,No,Downtown
TRANS-00082,1,CUST-0084,Tiago,Goncalves,Tourist,Apple,Fado,2023-04-01,2023,4,Saturday,14,Afternoon,Sandwich,SAND-104,1,6.27,6.27,6.27,No,Downtown
TRANS-00082,2,CUST-0084,Tiago,Goncalves,Tourist,Apple,Fado,2023-04-01,2023,4,Saturday,14,Afternoon,Cold Drink,COLD-153,1,4.23,4.23,4.23,No,Downtown
TRANS-00084,1,CUST-0128,Miguel,Rodrigues,Student,None,Fado,2023-05-17,2023,5,Wednesday,10,Morning,Pastry,PAST-190,2,2.37,4.74,4.03,Yes,Downtown
TRANS-00085,1,CUST-0241,Miguel,Martins,Student,Dell,Pop,2023-04-24,2023,4,Monday,11,Lunchtime,Hot Drink,HOT -159,1,3.23,3.23,3.23,No,Downtown
TRANS-00086,1,CUST-0117,Carolina,Rodrigues,Student,None,Fado,2023-04-25,2023,4,Tuesday,8,Morning,Cold Drink,COLD-185,1,3.16,3.16,3.16,No,Downtown
TRANS-00087,1,CUST-0036,Miguel,Martins,Tourist,Lenovo,Fado,2023-05-23,2023,5,Tuesday,13,Lunchtime,Sandwich,SAND-183,2,5.54,11.08,11.08,No,Downtown
TRANS-00088,1,CUST-0275,Carolina,Fernandes,Regular,None,Electronic,2023-06-19,2023,6,Monday,8,Morning,Cold Drink,COLD-115,2,3.02,6.04,6.04,No,Downtown
TRANS-00088,2,CUST-0275,Carolina,Fernandes,Regular,None,Electronic,2023-06-19,2023,6,Monday,8,Morning,Pastry,PAST-175,1,1.77,1.77,1.77,No,Downtown
TRANS-00088,3,CUST-0275,Carolina,Fernandes,Regular,None,Electronic,2023-06-19,2023,6,Monday,8,Morning,Pastry,PAST-114,2,1.85,3.69,3.14,Yes,Downtown
TRANS-00091,1,CUST-0161,Diogo,Rodrigues,Regular,HP,Indie,2023-08-12,2023,8,Saturday,17,Afternoon,Pastry,PAST-166,2,2.4,4.8,4.8,No,Downtown
TRANS-00092,1,CUST-0098,Sofia,Gomes,Tourist,None,Pop,2023-05-11,2023,5,Thursday,8,Morning,Cold Drink,COLD-191,1,3.54,3.54,3.54,No,Downtown
TRANS-00093,1,CUST-0276,Francisco,Oliveira,Regular,Dell,Pop,2023-12-18,2023,12,Monday,19,Afternoon,Pastry,PAST-195,1,1.7,1.7,1.7,No,Campus
TRANS-00093,2,CUST-0276,Francisco,Oliveira,Regular,Dell,Pop,2023-12-18,2023,12,Monday,19,Afternoon,Pastry,PAST-156,1,2.16,2.16,2.16,No,Downtown
TRANS-00095,1,CUST-0170,Ana,Rodrigues,Regular,Dell,Fado,2023-11-16,2023,11,Thursday,13,Lunchtime,Sandwich,SAND-185,2,5.66,11.32,11.32,No,Downtown
TRANS-00095,2,CUST-0170,Ana,Rodrigues,Regular,Dell,Fado,2023-11-16,2023,11,Thursday,13,Lunchtime,Hot Drink,HOT -139,1,3.0,3.0,3.0,No,Downtown
TRANS-00097,1,CUST-0168,Francisco,Gomes,Tourist,Dell,Fado,2023-07-26,2023,7,Wednesday,19,Afternoon,Sandwich,SAND-138,2,4.08,8.15,8.15,No,Downtown
TRANS-00098,1,CUST-0341,Ana,Fernandes,Tourist,None,Fado,2023-07-14,2023,7,Friday,18,Afternoon,Cold Drink,COLD-196,2,3.73,7.46,7.46,No,Downtown
TRANS-00098,2,CUST-0341,Ana,Fernandes,Tourist,None,Fado,2023-07-14,2023,7,Friday,18,Afternoon,Pastry,PAST-139,1,2.33,2.33,2.33,No,Downtown
TRANS-00100,1,CUST-0156,Diogo,Rodrigues,Regular,None,Electronic,2023-05-27,2023,5,Saturday,11,Lunchtime,Pastry,PAST-156,1,2.11,2.11,2.11,No,Downtown
TRANS-00101,1,CUST-0165,Carolina,Sousa,Student,Dell,Electronic,2023-08-27,2023,8,Sunday,15,Afternoon,Cold Drink,COLD-157,1,3.52,3.52,3.52,No,Downtown
TRANS-00102,1,CUST-0087,Diogo,Rodrigues,Student,Apple,Electronic,2023-12-04,2023,12,Monday,9,Morning,Pastry,PAST-137,2,2.13,4.27,3.63,Yes,Downtown
TRANS-00103,1,CUST-0172,Mariana,Goncalves,Student,None,Indie,2023-02-17,2023,2,Friday,20,Afternoon,Cold Drink,COLD-131,1,2.95,2.95,2.95,No,Downtown
TRANS-00103,2,CUST-0172,Mariana,Goncalves,Student,None,Indie,2023-02-17,2023,2,Friday,20,Afternoon,Sandwich,SAND-126,2,3.64,7.28,6.19,Yes,Downtown
TRANS-00105,1,CUST-0244,Tiago,Sousa,Student,Dell,Indie,2023-11-09,2023,11,Thursday,20,Afternoon,Cold Drink,COLD-110,1,4.27,4.27,4.27,No,Downtown
TRANS-00106,1,CUST-0295,Miguel,Fernandes,Regular,HP,Indie,2023-04-10,2023,4,Monday,19,Afternoon,Hot Drink,HOT -190,1,2.6,2.6,2.6,No,Downtown
TRANS-00107,1,CUST-0076,Ana,Martins,Tourist,Apple,Fado,2023-12-02,2023,12,Saturday,19,Afternoon,Cold Drink,COLD-101,1,4.22,4.22,4.22,No,Downtown
TRANS-00107,2,CUST-0076,Ana,Martins,Tourist,Apple,Fado,2023-12-02,2023,12,Saturday,19,Afternoon,Cold Drink,COLD-114,1,2.94,2.94,2.94,No,Downtown
TRANS-00109,1,CUST-0266,Ana,Goncalves,Regular,Dell,Electronic,2023-08-26,2023,8,Saturday,8,Morning,Pastry,PAST-172,2,2.35,4.7,3.99,Yes,Downtown
TRANS-00110,1,CUST-0234,Ana,Martins,Student,None,Electronic,2023-03-10,2023,3,Friday,20,Afternoon,Sandwich,SAND-160,2,6.46,12.93,12.93,No,Downtown
TRANS-00111,1,CUST-0305,Tiago,Sousa,Regular,Lenovo,Fado,2023-06-12,2023,6,Monday,20,Afternoon,Hot Drink,HOT -157,1,3.08,3.08,3.08,No,Downtown
TRANS-00112,1,CUST-0259,Ana,Fernandes,Student,Dell,Fado,2023-08-07,2023,8,Monday,16,Afternoon,Pastry,PAST-158,1,2.24,2.24,2.24,No,Campus
TRANS-00112,2,CUST-0259,Ana,Fernandes,Student,Dell,Fado,2023-08-07,2023,8,Monday,16,Afternoon,Sandwich,SAND-161,1,5.76,5.76,5.76,No,Downtown
TRANS-00114,1,CUST-0327,Diogo,Ferreira,Regular,Lenovo,Indie,2023-05-22,2023,5,Monday,20,Afternoon,Sandwich,SAND-167,2,4.22,8.44,8.44,No,Downtown
TRANS-00115,1,CUST-0226,Carolina,Sousa,Tourist,HP,Pop,2023-02-09,2023,2,Thursday,19,Afternoon,Hot Drink,HOT -137,2,2.5,5.01,5.01,No,Downtown
TRANS-00116,1,CUST-0277,Carolina,Rodrigues,Student,,Pop,2023-02-11,2023,2,Saturday,10,Morning,Hot Drink,HOT -120,2,3.04,6.08,5.17,Yes,Downtown
TRANS-00117,1,CUST-0110,Ana,Martins,Student,Apple,Indie,2023-02-02,2023,2,Thursday,14,Afternoon,Hot Drink,HOT -153,1,2.7,2.7,2.7,No,Downtown
TRANS-00118,1,CUST-0032,Miguel,Fernandes,Student,None,Pop,2023-04-16,2023,4,Sunday,14,Afternoon,Cold Drink,COLD-150,2,3.67,7.34,7.34,No,Downtown
TRANS-00118,2,CUST-0032,Miguel,Fernandes,Student,None,Pop,2023-04-16,2023,4,Sunday,14,Afternoon,Cold Drink,COLD-190,1,4.26,4.26,3.62,Yes,Downtown
TRANS-00120,1,CUST-0295,Miguel,Fernandes,Regular,HP,Indie,2023-07-14,2023,7,Friday,15,Afternoon,Sandwich,SAND-101,1,4.4,4.4,4.4,No,Downtown
TRANS-00121,1,CUST-0200,Ana,Ferreira,Student,None,Electronic,2023-08-03,2023,8,Thursday,16,Afternoon,Pastry,PAST-196,2,2.3,4.6,4.6,No,Downtown
TRANS-00122,1,CUST-0113,Miguel,Goncalves,Regular,Dell,Indie,2023-09-07,2023,9,Thursday,11,Lunchtime,Hot Drink,HOT -135,1,2.04,2.04,2.04,No,Downtown
TRANS-00123,1,CUST-0173,Ana,Rodrigues,Student,Lenovo,Electronic,2023-12-09,2023,12,Saturday,18,Afternoon,Sandwich,SAND-152,1,6.02,6.02,6.02,No,Downtown
TRANS-00124,1,CUST-0066,Sofia,Fernandes,Student,None,Fado,2023-11-15,2023,11,Wednesday,16,Afternoon,Sandwich,SAND-104,1,5.28,5.28,5.28,No,Downtown
TRANS-00125,1,CUST-0340,Tiago,Oliveira,Regular,Apple,Fado,2023-01-14,2023,1,Saturday,9,Morning,Hot Drink,HOT -183,2,3.3,6.6,5.61,Yes,Downtown
TRANS-00126,1,CUST-0094,Ana,Martins,Regular,Dell,Pop,2023-01-26,2023,1,Thursday,12,Lunchtime,Pastry,PAST-149,1,1.95,1.95,1.95,No,Downtown
TRANS-00127,1,CUST-0173,Ana,Rodrigues,Student,Lenovo,Electronic,2023-07-14,2023,7,Friday,12,Lunchtime,Hot Drink,HOT -197,1,2.63,2.63,2.63,No,Downtown
TRANS-00127,2,CUST-0173,Ana,Rodrigues,Student,Lenovo,Electronic,2023-07-14,2023,7,Friday,12,Lunchtime,Cold Drink,COLD-111,2,4.0,8.0,8.0,No,Downtown
TRANS-00127,3,CUST-0173,Ana,Rodrigues,Student,Lenovo,Electronic,2023-07-14,2023,7,Friday,12,Lunchtime,Sandwich,SAND-107,1,4.55,4.55,4.55,No,Downtown
TRANS-00130,1,CUST-0333,Miguel,Fernandes,Regular,HP,Electronic,2023-02-05,2023,2,Sunday,20,Afternoon,Pastry,PAST-184,1,1.53,1.53,1.3,Yes,Downtown
TRANS-00131,1,CUST-0127,Francisco,Sousa,Regular,None,Pop,2023-04-13,2023,4,Thursday,8,Morning,Pastry,PAST-180,1,1.63,1.63,1.38,Yes,Downtown
TRANS-00131,2,CUST-0127,Francisco,Sousa,Regular,None,Pop,2023-04-13,2023,4,Thursday,8,Morning,Sandwich,SAND-186,1,6.34,6.34,6.34,No,Downtown
TRANS-00131,3,CUST-0127,Francisco,Sousa,Regular,None,Pop,2023-04-13,2023,4,Thursday,8,Morning,Pastry,PAST-160,2,2.27,4.53,3.85,Yes,Downtown
TRANS-00134,1,CUST-0086,Miguel,Oliveira,Regular,Dell,Fado,2023-11-07,2023,11,Tuesday,17,Afternoon,Hot Drink,HOT -196,2,3.17,6.33,6.33,No,Downtown
TRANS-00135,1,CUST-0084,Tiago,Goncalves,Tourist,Apple,Fado,2023-06-09,2023,6,Friday,9,Morning,Sandwich,SAND-175,1,4.44,4.44,3.77,Yes,Downtown
TRANS-00136,1,CUST-0347,Ana,Sousa,Regular,Dell,Electronic,2023-07-12,2023,7,Wednesday,14,Afternoon,Pastry,PAST-192,1,2.09,2.09,2.09,No,Downtown
TRANS-00136,2,CUST-0347,Ana,Sousa,Regular,Dell,Electronic,2023-07-12,2023,7,Wednesday,14,Afternoon,Hot Drink,HOT -181,1,3.05,3.05,3.05,No,Downtown
TRANS-00136,3,CUST-0347,Ana,Sousa,Regular,Dell,Electronic,2023-07-12,2023,7,Wednesday,14,Afternoon,Hot Drink,HOT -139,1,2.9,2.9,2.9,No,Downtown
TRANS-00139,1,CUST-0062,Miguel,Fernandes,Tourist,Lenovo,Electronic,2023-10-17,2023,10,Tuesday,20,Afternoon,Pastry,PAST-106,1,1.93,1.93,1.93,No,Downtown
TRANS-00140,1,CUST-0190,Sofia,Oliveira,Regular,Lenovo,Indie,2023-02-05,2023,2,Sunday,16,Afternoon,Sandwich,SAND-183,1,6.05,6.05,6.05,No,Downtown
